Species	1-182	183-354	355-736	737-1296	1297-1857	1858-2396	2397-2938	2939-3487	3488-4043	4044-4601	4602-5151	5152-5690	5691-6282	6283-6946	6947-7796	7797-7960	7961-8298	8299-8522	8523-9221	9222-9931	9932-10672	10673-10838	10839-11215	11216-11700	11701-12124	12125-12564	12565-12711	12712-12844	12845-13120	13121-13557	13558-13993	13994-14396	14397-14829	14830-15271	15272-16092	16093-16549	16550-16797	16798-17060	17061-17326	17327-17564	17565-17862	17863-18119	18120-18366	18367-18581	18582-18786	18787-19027	19028-19315	19316-19556	19557-19851	19852-20131	20132-20355	20356-20562	20563-20728	20729-20950	20951-21126	21127-21332	21333-21544	21545-21733	21734-21922	21923-22131	22132-22391	22392-22570	22571-22731	22732-22883	22884-23023	23024-23190	23191-23372	23373-23641	23642-23791	23792-23952	23953-24372	24373-24491	24492-24617	24618-24756	24757-24909	24910-25032	25033-25158	25159-25284	25285-25386	25387-25466	25467-25517	25518-25633	25634-25731	25732-26176	26177-26483	26484-26770	26771-27038	27039-27229	27230-27547	27548-27816	27817-27999	28000-28163	28164-28314	28315-28469	28470-28622	28623-28778	28779-28926	28927-29085	29086-29250	29251-29544	29545-29668	29669-29800	29801-29946	29947-30084	30085-30216	30217-30365	30366-30450	30451-30613	30614-30682	30683-30783	30784-31047	31048-31316	31317-31539	31540-31803	31804-32001	32002-32215	32216-32412	32413-32852	32853-33212	33213-33749	33750-34066	34067-34407	34408-34748	34749-34972	34973-35596	35597-36117	36118-36344	36345-36632
Rozella_allomycis	1.46	3.33	2.35	4.50	1.08	1.33	9.74	1.33	1.33	1.17	10.00	2.33	1.74	2.12	2.08	0.50	2.11	2.00	1.00	1.75	1.64	2.11	-1	3.93	1.00	1.28	0.58	1.11	2.33	2.24	2.00	1.14	1.33	2.00	2.00	2.43	1.00	3.50	1.12	3.50	1.33	1.06	3.08	1.31	1.25	1.27	1.06	1.85	0.71	1.65	0.82	1.33	1.00	2.20	1.08	1.00	1.00	5.61	1.00	2.00	0.50	2.32	2.00	1.21	1.00	0.73	1.71	2.33	3.80	1.00	1.33	1.05	1.00	1.00	-1	1.05	1.12	1.11	1.00	3.00	1.02	0.33	0.17	1.24	2.20	1.00	2.25	1.36	1.66	1.27	3.21	1.17	2.03	1.00	0.56	3.00	1.50	1.45	1.12	2.17	1.17	0.50	1.00	1.59	1.68	3.53	1.00	-1	1.58	8.24	2.17	0.50	1.08	1.70	1.41	1.00	1.14	1.43	1.83	2.31	1.31	5.68	2.17	4.25	4.00	1.00	1.00	-1
Spizellomyces_punctatus	1.77	1.00	1.28	1.32	1.13	1.00	1.04	1.00	1.06	1.03	0.50	1.00	1.09	1.00	1.48	0.67	1.50	1.00	1.00	1.34	1.15	1.00	1.33	2.44	0.60	0.59	1.04	0.19	1.14	1.79	3.47	1.00	1.00	1.31	1.23	1.11	1.08	1.50	1.10	2.09	1.10	0.33	0.78	1.09	1.04	1.14	1.11	1.00	0.85	2.00	1.00	0.29	0.33	1.50	0.48	0.75	1.00	1.00	1.25	5.00	1.06	0.57	1.07	1.00	0.22	1.00	1.35	1.10	1.67	0.55	1.00	1.33	0.50	1.03	0.61	1.12	0.50	0.50	0.21	0.33	0.10	0.20	0.17	1.00	1.03	0.60	1.50	0.54	1.11	1.08	0.71	1.17	1.00	0.54	0.13	1.00	0.37	1.09	0.34	1.08	0.39	0.20	0.50	1.00	0.50	0.50	-1	0.20	-1	0.38	1.56	0.50	1.00	0.82	1.17	0.55	0.57	5.56	1.06	2.28	1.00	1.23	1.01	1.44	1.01	1.25	1.05	1.49
Batrachochytrium_dendrobatidis	1.88	1.06	1.52	1.14	1.08	1.36	1.00	1.00	1.21	2.19	1.00	1.33	1.79	1.06	1.43	1.17	0.50	1.00	1.07	2.26	2.07	1.09	1.00	1.24	1.14	1.67	1.25	2.00	1.12	1.33	2.67	1.04	1.10	1.00	1.20	1.29	1.04	1.57	1.78	1.41	6.00	1.00	2.83	1.13	1.09	1.64	1.12	0.75	2.89	1.28	1.23	1.23	1.03	1.00	1.58	0.33	1.08	1.39	0.50	2.96	1.50	1.53	1.50	-1	0.33	1.08	0.90	2.99	1.00	1.50	1.50	1.00	1.14	1.00	1.11	1.00	1.12	0.50	1.70	1.25	1.02	1.00	1.08	1.25	1.07	1.22	1.50	1.20	1.05	1.00	0.50	1.05	1.00	0.28	1.09	0.33	0.76	1.00	1.17	1.16	0.50	0.50	1.00	0.64	1.64	1.74	1.04	1.00	0.14	0.22	1.00	1.06	1.10	1.00	1.25	1.23	1.04	1.00	1.03	1.79	1.32	1.50	1.58	0.92	1.04	0.58	1.12	2.49
Piromyces_finnis	1.18	0.50	-1	5.86	1.17	1.58	1.50	1.00	0.96	0.64	-1	0.50	1.61	1.12	1.33	0.86	0.58	0.69	0.67	1.14	1.00	0.50	1.00	1.52	0.84	0.50	0.33	0.33	1.54	0.78	1.00	0.52	0.61	1.33	1.00	-1	0.50	1.12	1.50	0.80	1.03	1.00	0.50	1.00	2.00	0.87	1.00	0.46	1.00	0.62	0.56	0.50	0.56	3.04	1.33	0.75	1.00	1.69	0.50	1.00	0.83	0.89	0.60	0.64	0.50	1.39	1.00	0.83	0.50	1.11	1.00	0.17	0.50	0.33	-1	1.00	1.00	0.57	0.50	0.58	0.20	0.15	0.50	-1	0.75	0.88	0.67	1.00	1.30	0.85	0.56	0.95	1.00	0.50	-1	0.50	0.87	0.50	0.67	-1	0.21	0.33	1.00	0.49	1.00	0.39	1.65	0.50	0.62	0.54	0.95	0.53	1.37	0.50	0.64	0.61	1.00	0.73	0.87	-1	0.53	2.17	-1	1.00	0.59	2.00	-1	2.03
Neocallimastix_californiae	1.31	0.50	-1	7.10	1.72	1.50	1.00	0.50	0.96	1.00	2.43	1.01	1.77	1.12	1.33	0.86	0.58	1.00	1.33	1.14	1.00	0.50	3.82	1.52	0.84	0.50	0.33	0.33	1.11	0.78	0.78	0.52	1.00	0.50	1.00	-1	0.50	1.00	1.50	0.80	2.24	1.33	0.50	1.00	1.17	0.61	0.44	0.40	0.28	0.62	0.56	0.50	1.00	2.15	0.59	0.67	1.48	1.69	0.50	0.66	0.83	0.89	0.60	1.17	0.50	1.39	0.68	0.62	1.00	1.10	1.00	0.17	0.58	0.33	1.75	1.00	1.00	0.57	0.50	0.58	0.20	0.15	0.50	1.11	0.78	1.01	0.70	1.23	1.48	1.18	0.56	0.90	0.53	0.50	1.17	0.50	1.17	0.50	0.67	1.40	0.21	0.33	1.00	1.33	1.05	0.39	0.65	1.00	0.62	0.54	0.95	0.53	4.33	1.00	0.64	1.00	1.00	0.73	1.57	2.08	0.53	1.11	-1	1.25	1.00	2.00	-1	-1
Allomyces_macrogynus	1.27	1.00	1.17	1.20	1.27	1.04	1.00	1.00	1.33	2.18	1.20	1.11	1.33	1.86	1.20	1.00	1.50	1.50	1.12	1.29	1.67	1.00	1.40	1.20	1.10	1.83	0.35	1.11	2.22	2.64	4.59	1.09	1.08	1.50	1.04	1.27	1.77	3.00	2.22	1.00	1.48	1.10	1.36	1.37	1.25	1.30	1.00	1.17	1.43	1.12	1.12	1.03	1.00	1.12	1.24	0.50	1.50	2.91	1.18	1.00	2.00	1.00	1.00	0.56	1.00	1.00	1.71	1.50	1.25	1.00	1.03	1.45	1.37	1.00	1.10	1.25	2.96	0.50	0.35	1.75	-1	0.33	0.33	1.17	1.74	0.83	1.03	1.00	1.33	1.50	0.70	2.00	1.19	1.11	0.50	0.30	0.83	1.33	1.00	1.67	1.15	1.67	2.11	1.13	2.67	1.03	1.00	1.04	1.00	0.60	1.90	0.50	3.93	1.50	1.12	1.07	1.00	1.12	4.10	3.76	1.05	1.06	1.50	1.03	1.10	1.16	1.53	1.39
Phycomyces_blakesleeanus	1.50	1.00	1.42	0.71	1.27	1.00	1.00	1.36	0.67	1.25	1.22	1.00	1.27	2.48	2.05	1.00	1.70	1.00	0.74	1.92	1.50	0.31	1.00	2.68	1.00	0.50	1.00	0.25	1.00	1.25	4.39	0.83	1.24	1.33	1.75	1.10	1.00	1.01	0.61	0.75	1.00	0.53	1.00	1.00	1.00	1.01	1.00	1.00	2.81	0.74	0.64	0.64	1.00	0.59	1.00	1.00	1.04	1.39	1.17	1.73	0.83	0.50	0.50	1.43	1.58	0.50	1.87	0.36	3.17	1.00	1.02	0.54	1.25	1.00	0.38	1.20	1.33	0.68	1.00	1.00	1.02	1.00	0.14	0.56	1.12	1.46	2.71	1.00	0.50	1.17	1.05	1.56	2.00	0.41	2.08	0.50	1.00	0.57	0.69	1.33	0.50	1.00	0.50	1.28	0.67	0.49	0.20	1.20	0.26	0.60	1.02	0.50	0.81	1.50	1.27	1.00	1.36	1.00	1.07	2.78	0.67	1.16	1.31	1.00	2.00	1.12	1.36	2.13
Rhizopus_microsporus	1.25	1.08	1.14	0.50	1.68	-1	1.00	1.20	0.75	1.25	1.13	1.00	2.00	1.50	0.88	0.33	-1	0.43	1.14	1.33	1.67	1.00	1.00	0.84	0.75	1.20	0.50	0.15	0.74	1.04	3.25	0.83	1.00	0.50	3.26	1.52	0.61	1.24	1.51	0.58	1.32	1.50	0.50	0.93	1.07	0.94	0.50	1.15	1.50	1.33	1.03	1.04	0.33	1.00	1.33	0.67	0.34	1.39	1.14	0.63	0.83	0.92	0.50	1.39	1.53	0.57	1.11	1.07	3.48	1.02	1.00	0.44	1.50	0.66	0.58	1.50	1.25	0.36	1.48	3.50	0.36	0.29	0.06	0.58	2.23	0.50	1.00	0.75	1.08	1.17	2.09	1.00	1.00	0.50	0.34	1.00	0.52	0.44	0.69	1.10	1.00	1.00	0.49	1.40	0.67	1.00	2.00	1.00	0.14	0.10	0.79	1.17	1.61	0.36	0.51	1.04	1.32	1.06	1.33	3.41	1.01	0.70	1.36	0.62	1.04	1.23	1.44	1.74
Cryptococcus_amylolentus	2.34	1.05	1.75	1.62	1.76	1.29	1.53	5.25	2.18	2.33	2.01	1.57	1.17	3.77	2.39	3.08	1.45	0.84	8.39	2.33	1.58	3.25	-1	3.52	3.50	1.14	1.17	0.71	2.56	1.53	4.04	2.00	4.73	3.00	2.25	1.08	1.00	1.82	3.25	2.06	1.53	1.00	1.70	1.20	2.33	1.06	1.42	1.15	1.08	2.50	2.00	1.00	1.11	3.73	1.10	3.48	1.50	2.50	2.35	5.91	2.10	2.62	1.00	2.09	1.49	2.00	1.58	0.50	3.87	3.74	1.92	1.42	0.62	2.70	1.12	1.50	1.00	1.20	1.00	1.49	0.33	0.46	1.20	1.00	1.00	0.89	1.47	3.00	1.75	2.00	0.67	0.36	1.00	0.56	4.00	1.50	1.12	3.33	1.00	2.09	0.50	2.02	1.54	1.37	0.94	1.00	-1	1.17	0.56	7.00	1.04	2.41	2.29	2.06	1.00	1.21	0.33	1.25	1.43	2.80	1.09	2.00	2.00	1.00	2.50	1.44	2.06	1.80
Ustilago_maydis	1.07	1.00	1.00	2.03	1.00	1.14	2.16	1.45	1.61	1.65	1.99	1.33	1.20	4.52	2.00	1.00	1.10	1.50	2.00	1.44	-1	1.62	1.00	5.88	2.34	1.00	1.00	0.71	2.11	4.12	1.31	1.50	2.00	2.50	1.09	2.42	1.43	1.90	1.23	1.62	2.50	1.59	1.06	1.83	1.12	3.18	1.83	1.31	2.64	1.08	0.60	1.53	0.50	3.84	1.09	1.63	1.74	2.61	1.44	2.00	2.34	1.14	1.21	1.25	0.12	1.00	1.10	1.12	1.00	1.50	2.24	0.70	2.40	0.67	2.11	1.00	1.03	1.11	1.17	1.87	1.03	1.20	1.05	1.25	1.61	1.34	1.47	2.82	2.80	1.16	1.12	0.83	0.37	1.70	2.04	1.50	1.35	1.83	1.27	2.00	1.14	0.72	1.54	1.00	1.03	1.00	1.00	1.04	0.92	0.34	2.20	1.45	1.00	1.52	1.00	1.82	1.00	4.38	1.45	1.91	0.58	2.45	2.56	1.65	3.15	2.25	1.33	2.50
