Species	1-467	468-1823	1824-2289	2290-3179	3180-3371	3372-3914	3915-6858	6859-7002	7003-7238	7239-7377	7378-7866	7867-8106	8107-8469	8470-8640	8641-8923	8924-9066	9067-9228	9229-9819	9820-10584	10585-10916	10917-11200	11201-11396	11397-11615	11616-12722	12723-13184	13185-13559	13560-14000	14001-14602	14603-14744
Caldisericum	98	87	85	69	82	91	0	90	87	93	95	96	65	86	97	86	88	0	87	96	91	79	77	88	81	72	90	85	83
Dictyoglomus	98	91	84	74	89	91	0	91	98	96	95	96	0	84	97	0	88	0	90	98	87	79	78	86	95	77	90	0	83
Kosmotoga	98	90	84	76	89	91	0	91	86	95	0	96	66	85	97	86	88	74	87	97	95	79	84	88	96	78	90	76	83
Jonquetella	99	93	85	77	89	92	0	91	91	93	96	95	66	83	97	86	88	0	90	98	95	79	80	88	98	80	90	85	83
Clostridium_acetobutylicum	99	80	85	77	89	91	19	91	89	94	90	96	0	85	98	86	88	76	89	98	82	79	76	87	98	79	89	78	83
Chthonomonas	99	88	88	72	90	92	0	92	99	94	90	95	0	87	98	86	88	0	89	99	98	80	80	88	97	78	90	0	83
Actinomadura	97	81	85	90	90	92	0	92	99	95	0	96	0	88	97	86	87	73	86	99	98	79	89	87	100	99	88	79	83
Oscillochloris	98	85	88	64	89	92	0	92	98	95	0	97	0	84	97	86	88	0	90	97	85	79	80	91	100	84	90	0	91
Microgenomates	86	80	86	56	89	92	0	85	82	96	0	83	0	81	91	86	87	0	73	31	98	80	67	87	1	0	88	0	91
Parcubacteria	0	85	85	75	89	92	0	92	88	96	0	95	0	0	97	86	87	78	90	0	90	79	79	89	1	0	89	73	91
Synechocystis_sp._PCC6803	98	93	89	89	89	92	38	91	96	95	0	96	78	88	98	86	88	76	89	100	94	79	79	86	100	99	90	84	83
Gloeobacter	98	81	87	89	89	92	0	91	99	95	0	96	0	88	97	89	88	0	90	99	95	79	91	86	100	99	91	66	83
Cylindrosperopsis	98	83	88	89	90	92	0	91	99	96	0	96	0	88	98	86	88	75	89	0	92	79	80	86	100	99	91	83	83
Chlorogloeopsis	98	83	0	0	0	92	0	91	99	95	0	0	0	88	98	86	88	76	89	100	0	0	80	0	99	99	91	83	0
Treponema_pallidum	99	92	86	85	89	92	20	88	99	93	92	94	66	84	97	86	89	77	89	98	98	79	79	88	97	76	89	82	83
Elusimicrobium	98	92	86	88	90	91	0	80	97	93	0	95	66	0	98	86	88	75	90	97	98	81	74	89	1	0	88	0	83
Aquifex	99	91	85	88	90	93	0	87	85	0	89	96	0	85	97	85	89	0	90	99	96	81	87	89	96	96	90	0	83
Acidobacterium	99	92	87	89	90	92	0	92	90	95	90	96	0	85	97	87	88	77	91	98	96	79	77	89	98	80	89	86	83
Thermodesulfatator	99	91	87	89	90	91	0	91	88	95	89	96	0	84	97	86	88	75	89	99	96	79	79	88	96	84	90	0	83
Thermodesulfovibrio	98	91	87	83	89	92	0	89	87	93	89	95	66	84	97	86	88	75	89	97	92	79	80	88	96	79	90	0	83
Desulfurispirillum	99	91	85	88	89	92	0	89	93	93	90	95	68	83	97	86	88	0	89	97	90	79	77	88	98	88	89	86	83
Campylobacter_jejuni	98	91	83	87	90	92	0	90	94	93	94	96	65	83	97	86	88	75	89	97	93	79	68	88	96	75	90	79	83
Escherichia_coli	98	91	88	89	89	92	22	90	94	94	91	96	67	84	97	86	88	76	90	99	85	79	77	88	98	98	89	79	83
Rickettsia	99	91	86	88	89	92	0	89	86	96	0	95	67	89	97	86	88	71	90	98	98	79	80	88	97	79	89	80	83
Rhodopseudomonas_palustris	98	91	88	88	89	92	22	90	95	96	90	95	69	89	97	86	88	75	89	100	97	79	85	88	100	80	89	80	83
Rhodopirellula_baltica	99	91	89	88	90	92	23	89	93	96	94	93	68	87	98	86	88	82	90	98	95	79	81	88	100	87	89	85	81
Chlamydia_trachomatis	98	91	87	89	89	92	16	92	90	93	90	96	74	84	97	86	87	78	89	97	98	79	76	88	96	74	88	79	83
Verrucomicrobium	99	92	87	80	90	91	0	92	99	94	90	96	0	84	98	86	88	0	91	98	81	79	82	88	99	74	88	85	83
Lentisphaera	99	92	86	75	89	92	0	92	93	94	0	95	0	83	98	85	88	44	89	100	97	79	79	89	0	80	90	80	83
Candidatus	88	92	68	85	90	93	0	92	84	93	94	96	0	84	98	86	88	0	90	98	98	79	82	88	96	82	0	52	83
Latescibacteria	98	92	86	80	90	92	0	90	88	93	0	96	66	86	97	86	88	77	90	99	0	79	79	87	95	79	1	0	83
Chlorobium	99	93	87	89	90	92	0	89	99	93	0	96	0	84	93	86	88	0	90	97	91	78	79	88	97	81	88	86	83
Caldithrix	98	91	87	88	90	92	0	91	85	93	89	96	0	85	97	86	87	77	90	99	96	79	77	88	95	79	89	0	83
Gemmatimonas	100	92	87	88	90	92	0	87	88	93	92	95	0	87	96	86	87	76	90	100	97	79	73	88	98	80	89	86	83
Fibrobacter	98	93	87	87	89	91	0	92	88	96	0	95	66	84	97	86	88	48	90	97	87	79	74	91	97	79	89	81	83
Giardia_lamblia	98	98	98	96	91	97	12	100	89	100	99	92	97	86	87	98	99	99	100	100	83	95	100	94	100	100	99	100	100
Trichomonas_vaginalis	93	67	100	75	89	98	12	100	91	96	100	90	98	86	87	98	98	99	100	97	83	95	100	95	99	100	99	99	100
Reticulomyxa	29	31	29	0	0	34	0	0	100	69	53	0	67	37	69	0	0	29	40	97	0	0	100	14	98	0	28	0	0
Elphidium	97	63	100	0	95	98	13	0	0	0	100	0	0	89	0	98	0	99	98	100	0	0	0	0	99	0	0	100	92
Leishmania_major	98	97	100	91	92	98	13	100	89	100	99	90	100	93	89	98	98	89	100	100	81	97	100	99	100	100	98	100	100
Bodo	98	98	99	33	32	98	13	100	28	100	99	91	100	0	89	98	97	90	100	49	82	97	0	99	99	99	20	38	100
Tetrahymena	96	98	100	99	0	98	13	0	0	100	100	90	100	93	0	0	97	97	100	100	0	0	0	96	99	0	99	100	99
Paramecium	96	96	99	99	99	98	12	100	0	0	51	84	100	87	89	0	98	95	64	100	81	98	100	95	0	100	97	97	0
Phytophthora_ramorum	97	98	99	66	90	96	11	98	96	98	98	90	100	87	88	98	95	0	0	100	0	97	100	96	99	87	0	100	99
Thalassiosira_pseudonana	97	93	99	67	92	97	12	0	88	90	98	94	100	86	89	97	99	85	100	98	72	95	100	97	93	94	98	100	100
Ectocarpus	97	73	99	99	0	98	13	0	0	0	99	0	100	0	0	0	99	86	100	0	0	0	0	85	100	0	98	95	0
Polysphondylium	97	99	99	100	100	98	13	100	92	100	100	92	100	93	87	97	99	98	99	99	82	98	100	94	99	100	98	100	100
Dictyostelium_discoideum	97	99	99	99	100	98	12	100	92	100	100	90	95	88	88	96	99	99	100	100	83	97	100	96	99	100	98	100	100
Batrachochytrium	97	98	99	60	87	98	12	0	0	99	100	0	97	88	88	0	99	99	100	100	0	0	0	95	100	0	99	99	100
Agaricus	97	99	100	100	93	98	12	100	98	99	100	91	100	89	0	0	99	99	100	0	0	98	100	97	100	100	99	66	100
Saccharomyces_cerevisiae	98	99	99	98	91	98	12	96	98	98	100	90	100	88	88	96	99	99	100	100	82	98	100	97	100	100	99	100	100
Amphimedon	97	40	99	89	0	98	13	0	96	100	100	90	100	88	0	98	99	97	60	100	83	98	100	96	100	99	99	99	0
Hydra	97	99	99	100	99	98	12	0	97	0	100	0	100	88	0	98	99	97	100	100	82	0	94	96	100	99	99	100	0
Limulus	97	25	99	99	56	98	13	0	43	0	100	0	100	0	0	98	99	97	99	100	83	0	84	81	36	100	99	90	0
Homo_sapiens	97	99	99	100	93	98	13	100	98	100	100	90	100	87	88	98	99	97	100	100	83	98	100	96	100	99	99	99	100
Cyanophora	0	0	95	0	82	96	8	0	0	0	95	0	87	0	88	98	97	98	97	35	0	0	0	44	91	78	0	91	97
Galdieria	97	99	99	99	0	98	13	0	92	0	68	90	100	87	0	98	99	99	100	60	0	96	0	96	99	100	98	100	0
Chondrus	0	23	99	100	0	98	19	100	0	0	100	0	100	0	0	98	99	78	100	100	0	97	100	99	100	97	0	100	0
