Species	1-172	173-437	438-578	579-833	834-1361	1362-1578	1579-1755	1756-1873	1874-2114	2115-2293	2294-2552	2553-2755	2756-2933	2934-3296	3297-3473	3474-3703	3704-3824	3825-3937	3938-4126	4127-4367	4368-4881	4882-5114	5115-5259	5260-5710	5711-5990	5991-6602	6603-7155	7156-7465	7466-7641	7642-7750	7751-7968	7969-8205	8206-8728	8729-8948	8949-9207	9208-9513	9514-10106	10107-10932	10933-11208	11209-11971	11972-12120	12121-12658	12659-13058	13059-13316	13317-13766	13767-14098	14099-14414	14415-14701	14702-14947	14948-15411	15412-15746	15747-16181	16182-16554	16555-16775	16776-17195	17196-17414	17415-18311	18312-18779	18780-19306	19307-19529	19530-19709	19710-19876	19877-20106	20107-20286	20287-20583	20584-20818	20819-21089	21090-21386	21387-21571	21572-22055	22056-22338	22339-22493	22494-22824	22825-23337	23338-23628	23629-24487	24488-24963	24964-25345	25346-25518	25519-25682	25683-26070	26071-26235	26236-26429	26430-26611	26612-27012	27013-27536	27537-27766	27767-27953	27954-28625	28626-29250	29251-29525	29526-29959	29960-30298	30299-30533	30534-30724	30725-31012	31013-31529	31530-31859	31860-32294	32295-32550	32551-32969	32970-33272	33273-34409	34410-34838	34839-35134	35135-35331	35332-35471	35472-35928	35929-36118	36119-36530	36531-36802	36803-37439	37440-37619	37620-38081	38082-38700	38701-39020	39021-39345	39346-39538	39539-39691	39692-40113	40114-40455	40456-40805	40806-41022	41023-42125	42126-42425	42426-42685	42686-43086	43087-44462	44463-44787	44788-45369	45370-46245	46246-46733	46734-46850	46851-47191	47192-47299	47300-47630	47631-47797	47798-48130	48131-48389	48390-48957	48958-49288	49289-49599	49600-50096	50097-50332	50333-50686	50687-51146	51147-51549	51550-51954	51955-52242	52243-52608	52609-52985	52986-53127	53128-53658	53659-54220	54221-54507	54508-55001	55002-55482	55483-56281	56282-56738	56739-57187	57188-57939	57940-58435	58436-58803	58804-59328	59329-59762	59763-60088	60089-60438	60439-60785	60786-61044	61045-61397	61398-62125	62126-62852	62853-63579	63580-64321	64322-64845	64846-65491	65492-65986	65987-66611	66612-67398	67399-67873	67874-68672	68673-69140	69141-69613	69614-70085	70086-70446
Cephalodiscus_nigrescens	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cephalodiscus_hodgsoni	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Cephalodiscus_gracilis	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	0	2	2	0	2	2	1	1	0	2	0	2	1	1	1	1	0	2	1	2	2	2	2	2	1	2	2	1	1	1	2	2	2	1	2	2	2	2	2	2	1	2	2	2	0	2	1	1	2	2	2	0	2	2	2	2	0	0	2	1	1	2	1	2	2	2	2	1	1	1	2	2	1	1	1	1	2	2	1	2	2	1	1	2	0	1	2	1	2	2	1	1	2	2	1	2	1	0	1	2	1	1	2	2	1	2	1	2	2	2	1	1	2	1	2	1	2	1	1	0	0	1	2	1	1	2	1	1	0	0	0	1	2	2	1	1	1	0	2	1	1	2	1	1	1	1	0	1	1	0	1	1	1	0	0	1
Saccoglossus_mereschkowskii	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	1	2	2	2	2	0	1	2	2	2	2	1	1	2	1	2	2	2	0	2	2	2	0	1	1	1	2	1	0
Saccoglossus_kowalevskii	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	0	2	2	2	2	2	2	2	1	2	1	2	2	0	0	2	2	0	2	2	2	1	1	2	2	2	0	2	2	2	2	2	2	2	1	2	1	2	0	1	2	2	1	1	0	2	2	2	2	2	2	0	2	2	2	2	2	1	1	2	0	1	1	0	2	2	0	2	0	1	2	2	2	2	0	0	1	2	2	2	2	1	2	0	1	1	2	1	2	2	2	2	1	2	1	2	1	2	1	1	2	1	2	2	2	2	0	2	1	2	2	0	2	2	2	1	1	2	0	0	0	0	2	0	0	2	2	1	0	2	2	1	0	2	2	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1
Harrimaniidae_Iceland	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2	2	2	2	1	1	2	2	2	2	2	1	1	2	0	2	2	2	2	2	2	2	2	2	0	2	2	1	2	2	1	0	2	1	2	0	1	2	2	2	2	1	2	2	1	2	0	2	0	2	1	1	1	2	1	2	2	1	1
Harrimaniidae_Norway	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	1	2	2	2	0	2	2	2	1	2	2	2	2	2	2	2	2	0	2	1	2	1	2	2	2	2	1	2	1	1	2	2	2	2	2	2	2	1	0	2	2	2	2	2	1	2	2	1	1	0	1	1	2	1	1	2	0	1	2	0	1	1	2	2	1	2	1	2	2	1	1	0	1	1	2	2	1	1	1	0	0	1	1
Schizocardium_cf_braziliense	2	2	2	2	2	2	0	2	2	2	2	2	2	1	0	2	2	0	0	2	2	2	0	1	2	2	2	2	0	2	2	0	2	0	2	2	2	2	2	2	0	2	2	2	1	2	1	2	2	0	0	2	2	1	2	2	1	0	2	2	0	0	2	2	1	0	2	2	0	2	2	0	0	2	0	2	2	1	2	0	2	0	0	2	1	1	1	0	2	2	0	2	0	1	0	2	1	2	2	0	2	0	1	0	0	0	0	0	0	0	2	2	2	0	1	0	2	0	0	2	2	1	2	1	2	0	2	0	0	0	2	2	2	2	0	2	0	0	0	1	2	2	2	0	0	0	1	0	0	0	2	0	1	0	0	0	1	1	0	0	1	0	1	0	1	2	1	1	1	1	1	1	1	0	2	1	0	0	0	1	1	0	2	1	0
Ptychodera_flava	0	0	0	2	0	2	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptychodera_bahamensis	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	0	2	2	1	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2	1	1	0	1	2	2	2	1	0	2	1	0	2	1	2	2	1	1	2	2	1	0	2	1	2	1	2	1	2	2	0	1
