Species	1-182	183-336	337-557	558-984	985-1466	1467-1714	1715-2226	2227-2718	2719-3208	3209-3734	3735-4237	4238-4749	4750-5223	5224-5705	5706-6173	6174-6572	6573-7308	7309-7406	7407-7614	7615-8197	8198-8779	8780-9398	9399-9988	9989-10100	10101-10544	10545-10928	10929-11282	11283-11506	11507-11611	11612-11735	11736-11959	11960-12258	12259-12639	12640-13025	13026-13405	13406-13808	13809-14547	14548-14720	14721-14863	14864-15068	15069-15292	15293-15508	15509-15732	15733-15958	15959-16180	16181-16357	16358-16541	16542-16732	16733-16953	16954-17148	17149-17344	17345-17508	17509-17698	17699-18101	18102-18268	18269-18429	18430-18597	18598-18690	18691-18894	18895-19063	19064-19222	19223-19397	19398-19580	19581-19791	19792-19943	19944-20090	20091-20171	20172-20309	20310-20419	20420-20556	20557-20679	20680-20802	20803-20930	20931-21177	21178-21282	21283-21376	21377-21491	21492-21580	21581-21680	21681-21794	21795-21860	21861-21934	21935-21985	21986-22034	22035-22419	22420-22518	22519-22587	22588-22886	22887-23155	23156-23260	23261-23460	23461-23631	23632-23901	23902-23984	23985-24118	24119-24269	24270-24403	24404-24541	24542-24653	24654-24753	24754-24903	24904-25030	25031-25264	25265-25366	25367-25496	25497-25639	25640-25753	25754-25839	25840-25937	25938-25994	25995-26069	26070-26121	26122-26163	26164-26373	26374-26572	26573-26825	26826-27000	27001-27210	27211-27368	27369-27536	27537-27705	27706-28108	28109-28311	28312-28711	28712-29010	29011-29297	29298-29359	29360-29581	29582-29801	29802-29905	29906-30038	30039-30196	30197-30266	30267-30406	30407-30453	30454-30565	30566-30777	30778-30848	30849-30936	30937-31019	31020-31127	31128-31229	31230-31418	31419-31492	31493-31562	31563-31754	31755-31851	31852-31921	31922-31999	32000-32179	32180-32261	32262-32404	32405-32523	32524-32659	32660-32694	32695-32902	32903-32965	32966-33176	33177-33312	33313-33395	33396-33447	33448-33565	33566-33747	33748-33885	33886-34008	34009-34072	34073-34101	34102-34356	34357-34439	34440-34591	34592-34653	34654-34743	34744-34786	34787-34906	34907-34973	34974-35053	35054-35100	35101-35157	35158-35263	35264-35369	35370-35602	35603-35663	35664-35742	35743-35864	35865-35925	35926-36065	36066-36176	36177-36421	36422-36603	36604-36699	36700-36764	36765-36873	36874-37015	37016-37204	37205-37247	37248-37326	37327-37430	37431-37631	37632-37794	37795-37931	37932-38119	38120-38329	38330-38577
Amphimedon_queenslandica	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	94	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	91	96	61	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	61	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	0	100	61	100	100	100	100	0	100	100	100	100	100	100	94	100	100	100	100	100	100	100	100	91	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	94	100	100	100	100	96	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	99	100	100	100	100	75
Suberites_OTU	100	100	80	100	85	84	0	58	0	47	0	0	0	0	0	100	27	100	100	100	44	99	0	100	28	88	53	0	100	0	100	57	69	63	0	62	28	0	100	100	92	0	100	42	0	0	100	100	97	0	0	100	53	64	99	100	100	98	94	100	77	99	100	100	100	100	100	100	100	100	100	100	100	97	100	100	100	100	100	100	100	100	100	0	99	100	100	100	61	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	99	100	100	100	100	100	100	100	100	100	0	100	0	82	68	100	94	0	100	37	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	0	0	100	100	100	0	0	0	100	0	100	100	0	55	100	100	0	0	100	0	99	0	100	100	100	0	0	0	0	100	0	100	69	0	0	0	0	100	0	0	0	99	100	0	100	0	99	99	0
Trichoplax_adhaerens	100	99	100	79	91	100	100	100	100	100	100	100	100	100	97	100	99	100	100	100	95	100	85	100	100	100	100	100	100	100	100	84	17	100	92	100	100	100	77	100	100	100	100	100	100	100	95	100	96	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	99	100	100	98	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	95	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	70	99	100	100	100	100	98	100	100	99	100	100	100	100	100	100	92	100	100	100	100	100	100	100	100	71	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	69	100	98	99	100	87	100	100	100	100	100	97	100	100	100	100	100	99	100	100	100	100
Hydra_magnipapillata	100	78	100	100	100	100	70	36	100	82	100	100	100	100	82	100	100	100	100	100	92	100	100	100	91	100	100	100	97	100	100	100	76	100	100	100	96	100	53	100	75	100	52	95	100	100	100	100	99	100	100	100	100	100	99	100	100	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	85	100	100	100	100	100	100	87	100	100	100	100	100	100	100	100	100	79	71	93	100	100	100	100	100	100	100	100	100	100	93	100	100	100	99	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	85	100	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	89	100	100	97	100	100	100	100	99	100	100	100	93	100	100	100	100	100	91	100	100	100	100
Hydractinia_OTU	0	0	90	95	91	49	84	62	79	10	65	53	95	55	55	100	13	100	100	58	8	99	66	0	86	87	100	0	100	100	10	100	0	0	0	40	53	74	53	100	100	14	46	80	91	99	75	94	0	100	100	100	35	46	100	56	100	98	100	100	100	100	100	100	100	100	99	100	100	75	100	100	100	95	98	100	44	100	99	100	100	100	99	100	99	100	100	100	100	100	100	100	28	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	35	100	100	100	100	100	58	100	0	0	0	0	0	33	0	63	85	100	63	96	0	39	100	100	100	0	100	0	100	100	0	0	99	100	0	0	0	0	100	100	61	100	84	100	100	81	100	100	100	100	100	100	0	74	0	100	0	0	0	100	99	100	100	100	0	0	100	100	0	100	93	0	0	99	100	100	0	0	0	100	0	82	99	100	92	0	100	0
Acropora_millipora	100	100	100	100	94	100	100	100	100	100	100	92	100	94	88	99	95	100	100	100	100	100	100	100	100	100	100	90	100	100	99	100	59	100	100	100	96	100	84	100	100	100	100	98	100	82	100	100	100	100	100	82	79	55	100	100	100	98	48	100	100	100	100	100	100	99	99	100	100	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	95	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	99	100	100	100	100	94	100	100	100	100	100	100	100	0	100	100	0	100	99	100	0	0	0	0	100	100	100	100	100	100	100	83	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	96	100	100	100	100	100	100	99	100	100	100	100	93	100	100	0	100	100	100	100	98	100	100
Anemonia_viridis	0	100	100	88	100	96	37	0	11	45	75	43	48	100	100	100	100	100	100	100	0	73	96	100	86	100	100	0	100	100	100	100	46	100	61	0	0	90	84	0	100	0	100	100	95	88	100	100	100	100	91	100	79	100	100	100	100	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	25	63	0	100	0	54	98	0	77	100	100	0	100	97	78	0	100	0	100	0	59	100	0	100	99	100	0	0	0	0	100	98	100	100	100	100	100	85	100	100	100	100	100	100	100	97	100	0	54	100	100	100	100	100	100	100	0	99	100	99	0	0	50	100	73	100	0	100	0	100	87	100	0	100	0	0	93	100	100	100
Nematostella_vectensis	100	100	100	92	100	36	92	100	95	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	64	100	100	84	100	55	100	100	100	100	100	100	100	96	98	100	100	100	100	99	100	100	98	100	100	100	100	100	100	100	100	100	98	100	100	100	100	93	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	94	100	100	100	100	100	100	100	100	100	100	93	0	99	100	56	100	99	100	100	100	100	100	100	100	100	87	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	97	100	100	100	100	100	95	92	100	100	100	100	100
Branchiostoma_OTU	100	99	100	100	100	72	100	100	100	100	100	100	100	100	100	100	58	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	89	100	100	100	100	91	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	88	100	100	100	100	100	100	59	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	85	100	100	100	100	100	100	100	100	100	100	81	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	97	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	84	100	100	100	100	100	100	100	100	100	100	84	100
Ciona_intestinalis	100	100	100	100	100	62	100	100	100	100	100	100	100	100	100	97	100	99	100	0	100	87	91	100	100	100	100	100	100	100	100	100	51	100	100	100	100	100	100	100	58	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	84	100	100	100	100	100	100	100	100	100	94	100	100	100	94	100	100	100	100	99	81	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	57	100	100	100	100	100	100	100	100	100	0	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	81	100	100	100	100	100	78	100	94	100	100	100	100	83	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	98	100	100	95	100	100	100	100
