Species	1-99	100-336	337-547	548-704	705-897	898-1130	1131-1213	1214-1414	1415-1492	1493-1602	1603-1820	1821-1915	1916-2084	2085-2260	2261-2336	2337-2570	2571-2688	2689-2951	2952-3035	3036-3132	3133-3257	3258-3372	3373-3602	3603-3713	3714-3877	3878-4004	4005-4137	4138-4245	4246-4349	4350-4474	4475-4594	4595-4778	4779-4890	4891-5045	5046-5199	5200-5391	5392-5564	5565-5706	5707-5977	5978-6099	6100-6288	6289-6373	6374-6669	6670-6739	6740-6966	6967-7149	7150-7347	7348-7598	7599-7821	7822-7967	7968-8107	8108-8278	8279-8412	8413-8581	8582-8719	8720-8789	8790-8967	8968-9074	9075-9204	9205-9335	9336-9420	9421-9563	9564-9658	9659-9796	9797-9917
Cryptococcus_neoformans	98	97	0	93	0	93	0	98	100	91	0	93	100	0	0	0	93	95	0	0	96	93	96	99	0	71	97	96	0	94	94	96	98	88	97	95	99	98	99	0	98	84	95	99	98	99	93	99	92	94	98	95	98	97	93	99	93	90	0	91	96	97	98	95	0
Saccharomyces_cerevisiae	0	97	0	91	0	94	0	99	0	93	0	0	100	0	0	0	95	92	0	0	0	0	99	0	93	0	96	96	0	96	100	91	0	84	100	95	100	0	93	0	98	99	95	95	97	99	85	99	90	99	0	87	100	89	86	99	96	90	97	75	96	97	98	98	0
Sphaeroforma_arctica	0	58	0	0	0	94	0	0	0	73	0	86	100	94	0	96	0	0	0	0	0	74	0	59	0	0	94	97	0	0	0	0	0	68	0	0	65	93	0	0	94	0	96	90	97	87	93	99	92	98	100	93	96	57	78	99	96	90	97	88	96	97	98	0	0
Amoebidium_parasiticum	0	0	35	76	0	0	97	82	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	96	0	91	99	0	0	0	18	74	98	100	0	0	97	0	100	66	90	97	0	76	97	98	61	0
Capsaspora_owczarzaki	92	64	0	93	85	0	93	0	92	90	97	93	100	70	0	0	94	59	0	88	70	94	0	100	95	80	0	96	0	92	0	0	83	0	90	0	0	0	0	0	97	0	75	99	97	84	94	95	83	99	100	93	98	97	84	99	93	91	97	0	97	0	98	97	0
Monosiga_ovata	91	93	0	0	0	52	0	98	94	0	0	93	99	0	0	0	96	89	0	0	92	0	0	0	0	0	0	0	0	93	0	86	87	54	0	0	97	0	0	0	97	0	97	0	75	87	85	0	92	91	78	43	0	73	0	0	94	90	97	84	68	97	98	97	0
Mnemiopsis_leidyi	0	0	0	90	0	0	0	0	92	90	0	98	100	94	0	100	96	0	92	0	97	96	95	98	0	0	95	99	89	92	100	0	83	97	97	54	91	0	0	0	96	98	95	0	94	99	94	99	79	98	91	93	98	97	87	99	95	0	97	90	96	97	98	97	0
Mertensiid_sp	92	0	0	0	0	35	0	0	80	90	0	99	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	99	0	100	0	0	0	0	0	0	0	0	0	96	0	95	100	93	94	94	99	92	98	100	93	97	97	87	99	95	0	97	88	96	97	97	97	0
Oscarella_carmela	0	81	95	0	0	65	0	98	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	72	96	61	0	0	93	0	97	0	0	95	90	0	0	0	70	97	0	0
Suberites_domuncula	0	0	0	90	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	95	0	97	99	94	96	94	98	100	95	98	97	90	99	95	96	97	89	96	97	98	98	0
Acropora_millepora	80	93	0	0	94	0	96	18	0	90	0	93	100	52	0	49	96	87	100	0	0	0	87	100	98	85	97	0	97	92	0	85	86	0	0	0	65	0	0	0	96	98	95	96	96	87	0	28	94	93	100	95	98	97	90	80	44	55	97	91	96	97	98	58	0
Nematostella_vectensis	94	0	91	90	94	92	96	98	100	90	97	93	100	93	89	97	96	86	64	94	85	91	95	100	98	78	97	96	97	92	100	96	0	97	97	92	99	79	95	0	97	97	28	99	96	99	95	99	0	79	100	95	98	97	90	99	95	90	97	91	96	97	98	97	59
Cyanea_capillata	92	0	0	90	0	0	0	0	0	0	0	93	0	0	93	0	96	0	0	94	0	91	93	100	0	0	0	0	98	92	0	0	0	0	0	83	0	94	0	0	95	0	0	0	0	0	76	0	57	98	100	89	98	97	0	99	93	0	97	67	96	0	95	89	0
Hydra_magnipapillata	91	0	96	90	94	92	0	98	100	90	98	93	0	94	0	97	91	88	99	0	93	92	95	98	98	85	88	96	90	92	93	0	84	97	97	92	99	94	94	0	53	96	0	99	0	0	0	0	0	98	100	0	0	0	0	0	43	0	0	0	0	0	0	0	100
Hydractinia_echinata	0	0	28	0	0	0	94	0	0	0	0	0	0	69	0	0	0	29	99	0	0	0	0	0	0	85	0	0	89	0	0	0	0	0	0	92	43	0	0	0	94	84	74	0	75	0	95	61	89	98	100	92	98	92	90	99	93	89	0	90	96	91	98	0	0
Branchiostoma_floridae	92	73	0	0	96	0	93	87	100	0	80	72	0	0	95	97	85	0	100	94	97	91	95	0	83	89	0	96	0	0	0	0	0	0	87	0	0	0	0	97	94	82	0	0	97	99	95	99	0	98	100	93	98	97	84	0	95	0	0	92	96	0	98	97	100
Ciona_intestinalis	0	93	91	91	0	87	98	98	100	92	97	0	100	93	91	0	96	88	0	94	94	92	94	98	98	100	96	96	0	92	0	91	82	97	97	90	58	0	96	0	97	97	95	0	96	91	94	98	94	0	100	77	98	97	90	99	83	72	97	92	86	0	98	97	0
Homo_sapiens	92	93	93	90	0	92	99	98	100	90	97	93	100	0	90	97	96	88	100	94	98	91	95	100	0	97	95	96	0	92	100	96	86	97	97	91	99	94	95	97	98	86	0	99	97	99	95	99	94	98	0	93	98	97	0	0	95	0	0	0	0	0	98	97	100
Gallus_gallus	92	93	0	56	94	0	97	82	86	0	0	0	77	93	77	97	0	88	0	0	92	91	95	100	98	97	0	96	0	92	0	96	85	97	97	91	99	94	95	97	98	86	0	0	97	78	0	99	94	0	100	93	0	97	90	99	98	0	100	93	96	97	98	0	100
Xenoturbella_bocki	0	0	96	0	0	63	98	0	0	0	0	0	100	93	91	0	80	81	0	0	98	85	94	100	0	0	0	0	0	0	0	96	0	97	0	0	0	0	0	0	97	0	89	0	97	0	95	99	94	98	0	93	98	97	84	85	89	0	97	0	96	97	98	97	100
