Species	1-202	203-531	532-959	960-1182	1183-1606	1607-1782	1783-2050	2051-2986	2987-6514	6515-6730
Homo	2	2	2	2	2	2	2	2	2	2
Rattus	2	2	2	2	2	2	2	2	2	2
Monodelphis	2	2	2	2	2	2	2	2	2	2
Gallus	2	2	2	2	2	2	2	2	2	2
Anolis	2	2	2	2	2	2	2	2	2	2
Xenopus	2	2	2	2	2	2	2	2	2	2
Danio	2	2	2	2	2	2	2	2	2	2
Tetraodon	2	2	2	2	2	2	2	1	2	2
Petromyzon	2	1	2	2	2	2	2	2	2	2
Cionaintestinalis	2	2	2	2	2	2	2	2	2	2
Halocynthia	2	2	2	2	2	0	2	2	2	2
Amphioxus	2	2	2	2	2	2	2	2	2	2
Branchiostoma_lanceolatum	2	2	2	2	0	2	2	0	1	2
Dendraster	2	2	2	2	2	2	2	0	1	0
Encope	2	2	2	2	2	2	2	0	1	2
Spurp	2	2	2	2	2	2	2	2	2	2
Paracentrotus	2	2	2	2	2	0	2	1	2	2
Eucidaris	2	2	2	2	2	2	2	0	1	2
Asterina	2	2	2	2	2	2	2	2	2	2
Antedon	2	2	2	2	2	2	2	2	2	2
Ptychodera	2	2	2	2	2	2	2	2	2	2
Glossobalanus	2	2	2	2	2	2	2	0	1	2
Saccoglossus	2	2	2	2	2	2	2	2	2	2
M_califorianus	2	2	2	0	2	2	2	0	1	2
M_edulis	2	2	2	2	2	2	2	1	2	2
Modiolus	2	2	2	2	2	2	2	1	2	2
Nucula	2	2	2	2	2	1	2	1	2	2
Anadara	2	2	2	2	2	2	2	1	2	0
Aplysia	2	2	2	2	2	2	2	1	2	2
Haliotis	2	2	2	2	2	0	2	2	2	2
Crepidula	2	2	2	2	2	0	2	0	1	2
Littorina	0	2	2	2	2	0	2	1	1	2
Neptunea	0	2	2	2	2	0	2	1	2	2
Buccinum	2	2	0	2	2	0	2	1	1	2
Chaetopleura	2	2	2	2	2	2	2	2	2	2
Leptochiton	2	2	2	2	2	2	2	2	2	2
Stylochus	2	2	2	2	2	2	2	2	2	2
Ridgeia	2	2	1	2	2	0	0	0	1	2
Nereis	2	2	2	0	2	2	2	2	2	2
Alvinella	2	2	2	2	2	2	2	0	1	2
Capitella	2	2	2	2	2	2	2	2	2	2
Helobdella	2	2	2	2	2	2	2	1	1	2
Lumbricus	2	2	2	2	2	2	2	2	2	2
Tubifex	2	2	2	0	2	1	0	2	2	2
Bugula	2	2	2	2	2	2	2	2	2	2
Membranipora	2	2	2	2	2	2	2	0	1	2
Flustrellidra	2	2	2	2	2	2	2	1	2	2
Alcyonidium	2	2	2	2	2	0	2	1	2	2
Plumatella	2	2	2	2	2	0	2	2	2	2
P_architecta	2	2	2	2	0	2	2	1	2	2
P_vancouverensis	2	0	2	2	2	2	0	2	2	2
Phoronopsis	2	2	2	2	2	2	0	0	1	2
Terebratulina	2	2	2	2	2	2	2	1	2	2
Terebratalia	2	0	2	0	2	0	2	2	2	2
Glottidia	2	2	0	2	2	2	2	2	2	2
Lingula	2	2	0	2	0	0	0	1	2	2
Philodina	2	2	2	2	1	2	0	2	2	2
Brachionus	2	2	2	0	2	2	2	1	2	2
Carinoma	2	0	2	2	1	0	2	0	1	2
Tubulanus	0	2	2	2	0	0	2	2	2	2
Amphiporus	2	2	2	2	2	2	2	2	2	2
Cerebratulus	2	2	2	2	2	2	2	2	2	2
Lineus	2	2	2	2	2	2	2	1	2	2
Priapulus	2	2	2	2	2	2	2	2	2	2
Peripatus	1	2	2	2	2	2	2	2	2	2
Limulus	2	2	2	2	2	0	2	2	2	2
Rhipicephalus	2	2	2	2	2	0	2	2	2	2
Ixodes	2	2	2	2	2	0	2	0	2	2
Daphnia	2	2	2	2	2	2	2	2	2	2
Artemia	2	1	2	2	2	2	2	2	2	2
Lestes	2	2	2	2	2	2	2	1	2	2
Enallagma	2	2	2	2	2	2	2	1	2	2
Tribolium	2	2	2	2	2	2	2	1	1	0
Aedes	2	2	2	2	2	2	2	2	2	2
Anopheles	2	2	2	2	2	2	2	1	2	2
Drosophila	2	2	2	2	2	2	2	2	2	2
Petrolisthes	2	2	2	2	2	2	2	0	1	2
Trichinella	2	2	2	2	2	0	0	2	2	2
Ascaris	2	2	2	2	2	1	0	2	2	2
Meloidogyne	2	1	2	2	2	0	2	2	2	2
Heterorhabditis	2	2	2	0	2	2	2	2	2	2
Ancylostoma	2	2	2	2	2	2	2	1	2	2
Pristionchus	2	2	2	2	2	0	2	1	2	2
Celegans	2	2	2	2	2	2	2	2	2	2
Clytia	2	2	2	2	2	0	2	1	2	2
Obelia	2	2	2	2	2	2	2	0	1	2
Hydra	2	2	2	2	2	1	1	1	2	2
Nematostella	2	2	2	2	2	2	2	0	2	2
Metridium	2	2	2	2	2	2	0	0	1	2
Acropora	2	2	2	2	2	0	2	0	0	0
Leptogorgia	2	2	0	2	2	0	2	1	2	2
Trichoplax	2	2	2	2	2	2	2	2	2	2
