Species	1-189	190-322	323-439	440-555	556-706	707-807	808-989	990-1152	1153-1280	1281-1400	1401-1546	1547-1652	1653-1820	1821-1937	1938-2076	2077-2247	2248-2357	2358-2452	2453-2638	2639-2809	2810-2924	2925-3120	3121-3182	3183-3374	3375-3536	3537-3639	3640-3746	3747-3873	3874-4023	4024-4127	4128-4309	4310-4444	4445-4561	4562-4752	4753-4865	4866-5041	5042-5249	5250-5384	5385-5483	5484-5596	5597-5726	5727-5860	5861-5977	5978-6101	6102-6275	6276-6334	6335-6496	6497-6583	6584-6768	6769-6912	6913-7100	7101-7236	7237-7441	7442-7574	7575-7665	7666-7868	7869-8075	8076-8153	8154-8328	8329-8405	8406-8563	8564-8700	8701-8842	8843-8964	8965-9145	9146-9352	9353-9537	9538-9814	9815-10008	10009-10188	10189-10337	10338-10525	10526-10637	10638-10830	10831-10930	10931-11113	11114-11280	11281-11487	11488-11595	11596-11741	11742-11875	11876-12006	12007-12098	12099-12235	12236-12287	12288-12358	12359-12434	12435-12657	12658-12796	12797-12974	12975-13155	13156-13251	13252-13300	13301-13470	13471-13688	13689-13798	13799-14112	14113-14206	14207-14308	14309-14408	14409-14517	14518-14663	14664-14786	14787-14916	14917-15043	15044-15242	15243-15370	15371-15621	15622-15695	15696-15956	15957-16078	16079-16265	16266-16385	16386-16537	16538-16659	16660-16775	16776-16939	16940-17153	17154-17333	17334-17446	17447-17555	17556-17768	17769-17868	17869-18068	18069-18386	18387-18493	18494-18641	18642-18836	18837-18924	18925-19036	19037-19282	19283-19491	19492-19649	19650-19828	19829-19973	19974-20091	20092-20191	20192-20384	20385-20514	20515-20683	20684-20867	20868-21033	21034-21420	21421-21591	21592-21763	21764-21949	21950-22160	22161-22486	22487-22753	22754-22848	22849-22984	22985-23095	23096-23273	23274-23450	23451-23605	23606-23756	23757-23885	23886-23977	23978-24132	24133-24270	24271-24413	24414-24549	24550-24663	24664-24749	24750-24938	24939-25053	25054-25172	25173-25310	25311-25575	25576-25849	25850-25979	25980-26110	26111-26313	26314-26536	26537-26634	26635-26839	26840-26965	26966-27094	27095-27270	27271-27343	27344-27609	27610-27785	27786-28008	28009-28160	28161-28232	28233-28359	28360-28446	28447-28665	28666-28812	28813-28962	28963-29155	29156-29227	29228-29346	29347-29622	29623-29752	29753-29798	29799-29974	29975-30076	30077-30163	30164-30293	30294-30524	30525-30614	30615-30727	30728-30902	30903-31256	31257-31360	31361-31411	31412-31510	31511-31597	31598-31671	31672-31820	31821-32026	32027-32195	32196-32384	32385-32542	32543-32670	32671-32812	32813-32951	32952-33060	33061-33121	33122-33198	33199-33317	33318-33421	33422-33469	33470-33591	33592-33730	33731-33881	33882-34050	34051-34320	34321-34371	34372-34544	34545-34725	34726-34881	34882-35074	35075-35169	35170-35342	35343-35531	35532-35753	35754-35864	35865-36045	36046-36153	36154-36301	36302-36510	36511-36775	36776-36864	36865-36996	36997-37120	37121-37283	37284-37405	37406-37567	37568-37903	37904-38072	38073-38171	38172-38393	38394-38503	38504-38706	38707-38790	38791-39049	39050-39183	39184-39321	39322-39522	39523-39626	39627-39855	39856-39898	39899-40027	40028-40058	40059-40174	40175-40355	40356-40534	40535-40583	40584-40730	40731-40898	40899-41122	41123-41248	41249-41491	41492-41542	41543-41661	41662-41769	41770-41972	41973-42088	42089-42153	42154-42253	42254-42342	42343-42418	42419-42554	42555-42678	42679-42843	42844-42983	42984-43132	43133-43250	43251-43288	43289-43498	43499-43567	43568-43654	43655-43773	43774-43960	43961-44101	44102-44300	44301-44473	44474-44661	44662-44864	44865-44986	44987-45132	45133-45238	45239-45292	45293-45392	45393-45432	45433-45610	45611-45711	45712-45863	45864-46000	46001-46118	46119-46238	46239-46361	46362-46558	46559-46681	46682-46874	46875-47104	47105-47357	47358-47615	47616-47728	47729-47876	47877-48044	48045-48240	48241-48336	48337-48448	48449-48519	48520-48633	48634-48723	48724-48778	48779-48905	48906-49091	49092-49215	49216-49415	49416-49536	49537-49867	49868-50094	50095-50191	50192-50329	50330-50429	50430-50636	50637-50762	50763-50982	50983-51183	51184-51286	51287-51392	51393-51567	51568-51820	51821-51989	51990-52247	52248-52459	52460-52667	52668-52867	52868-53068	53069-53154	53155-53241	53242-53539
Drosophila_melanogaster	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	0	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2	0	2	0	0	0	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	0	0	2	0	0	2	0	0	2	0	2	2	2	0	2	2	0	0	0	0	2	0	2	2	2	2	2	0	2	0	0	2	0	2	2	0	2	0	2	2	0	2	0	2	2	2	0	0	2	2	2	2	0	2	2	0	0	0	2	2	2	2	2	2	2	2	0	2	0	0	2	2	2	2	0	0	0	2	0	2	2	0	0	2	0	0	0	2	2	0	2	2	0	0	0	2	0	0	2	0	2	2	2	0	0	2	0	0	2	2	0	2	2	2	0	2	2	0	0	0	2	2	0	0	0	2	0	0	0	0	2	0	2	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	2	2	2	2	0	0	0	0	1	0	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	2	2	2	0	2	2	2	0	0	2	0	0	0	0	0	2	0	0	0	2	0	0	2	0	2	2	0	0	2	2	0	2	2	2	2	2	0	2	0	0	2	0	0	0
Taeniopygia_guttata	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	0	2	0	0	0	2	1	2	0	0	0	2	0	0	0	0	2	2	2	2	2	0	2	2	2	2	2	2	2	0	0	2	2	0	0	2	2	0	2	2	0	2	2	2	2	0	0	2	2	0	0	2	0	2	0	2	2	2	2	2	0	2	0	0	2	2	2	2	0	0	0	2	0	2	0	2	2	2	2	2	2	0	2	0	2	1	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	0	0	0	2	2	2	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	2	2	2	0	1	2	2	2	0	0	2	0	2	2	2	2	0	2	2	2	2	0	2	2	2	0	0	2	2	2	2	2	2	0	2	2	2	0	0	2	2	0	2	0	0	2	0	1	0	0	0	0	2	0	0	0	2	0	0	2	2	0	2	2	2	0	0	2	2	2	2	2	0	0	2	0	0	2	0	0	0	0	2	0	2	2	0	0	0	2	2	0	2	1	0	0	0	0	0	2	0	0	2	2	2	2	0	2	0	1	2	0	0	2	2	0	0	1	2	2	2	2	0	0	2	0	0	2	0	2	2	0	2	2	0	0	2	0	0	1	2	2	0	0	2	2	2	0	0	2	2	2	0	2	2	0	2	2	0	2	0	0	0	0	2	0	0	0	0	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	0	2	0	0	0
Strongylocentrotus_purpuratus	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	0	2	0	2	2	2	2	2	2	0	2	0	2	2	2	0	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	2	2	1	2	2	0	2	2	2	2	2	2	2	0	0	2	2	2	2	2	1	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	0	2	2	0	2	0	0	2	0	2	2	1	0	2	2	0	0	2	0	2	0	2	2	0	2	2	0	2	0	2	2	2	2	2	1	2	2	2	0	0	0	2	2	2	1	2	0	0	2	2	2	0	2	0	2	0	2	2	2	2	2	2	2	2	0	2	2	0	0	2	2	0	2	2	0	2	2	2	2	0	2	2	0	2	0	0	2	2	0	2	2	0	0	2	2	1	2	2	2	2	2	2	0	0	2	2	0	1	2	2	2	2	0	2	0	2	0	2	0	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	0	0	2	2	2	0	0	2	0	0	0	2	2	2	2	0	0	2	0	0	2	0	2	0	0	2	2	0	2	2	0	0	2	2	2	2	2	2	2	2	2	0	2	0	2	0	2	2	2	2	2	0	0	0	0	0	0	2	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0
Capitella_teleta	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	1	0	2	2	2	2	2	0	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	0	2	2	2	0	0	0	2	0	2	2	2	0	0	0	0	0	2	0	2	0	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	0	0	0	2	0	2	0	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	0	2	2	2	0	2	2	2	0	2	2	0	0	2	2	0	0	2	2	2	0	2	2	2	2	0	2	0	2	2	0	2	2	2	2	0	0	2	2	0	2	2	2	2	2	0	2	0	2	2	2	0	0	2	2	0	2	2	2	2	2	0	0	2	0	0	2	0	2	2	0	2	2	0	2	2	0	0	2	2	0	1	2	2	2	2	2	0	2	2	2	1	0	2	2	2	2	0	2	2	0	0	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	0
Lottia_gigantea	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	0	2	2	2	2	0	2	2	2	2	2	0	0	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	0	2	2	2	0	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	0	0	2	2	2	2	0	0	2	0	2	2	2	0	2	2	0	0	2	0	2	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	0	2	0	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	0	2	2	0	2	2	0	2	2	2	0	2	0	2	1	2	2	0	0	2	2	2	2	2	2	2	0	2	2	2	2	0	0	0	2	2	0	0	2	2	2	2	0	2	2	0	2	2	2	2	2	0	2	0	2	2	0	0	2	2	2	0	2	2	2	2	2	0	0	0	0	0	2	0	2	2	0	2	2	0	2	2	0	0	2	2	2	2	2	2	2	2	2	0	2	2	2	1	0	2	2	2	0	0	2	0	0	0	0	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	0	0
Mnemiopsis_leidyi	2	2	2	2	2	0	2	2	2	2	2	2	0	0	0	2	2	0	2	2	0	2	0	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	0	2	2	2	0	0	2	2	0	0	2	0	2	2	2	2	0	0	1	0	0	0	2	2	2	0	2	2	2	0	2	0	0	2	2	2	2	2	0	2	0	0	2	2	0	0	2	2	2	2	2	2	0	0	0	0	2	2	2	2	2	2	0	0	2	2	0	2	2	2	0	2	0	0	2	0	2	1	0	0	0	2	0	2	0	0	2	2	2	2	2	0	0	2	2	2	0	0	2	0	2	0	2	0	0	0	0	0	2	0	2	2	2	2	0	2	0	2	2	2	2	2	0	0	0	0	0	1	2	2	0	0	0	2	0	2	2	2	0	2	0	2	2	2	2	0	0	0	0	0	0	2	2	2	0	0	0	2	2	0	2	0	0	0	2	0	2	2	0	0	0	0	2	2	2	2	0	0	2	2	0	2	0	2	0	0	2	2	0	2	0	0	0	2	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2	2	0	0	0	0	2	2	2	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	2	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	2	2	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	2	2	2	0	0	0	2	2	2	0	0	0	2	0	0	0	0
Trichoplax_adhaerens	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	0	2	0	2	2	2	0	2	2	2	2	2	2	2	2	0	2	0	0	2	2	2	2	0	2	2	2	2	0	0	0	0	1	2	2	2	2	2	0	0	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	0	0	2	2	0	2	2	0	2	0	2	2	2	0	2	2	2	0	0	0	0	0	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	0	0	0	2	2	2	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	0	2	0	0	2	0	2	2	0	2	2	0	2	0	2	0	0	2	2	0	2	2	0	0	2	0	0	2	2	0	0	2	2	2	2	2	0	0	0	0	0	0	2	2	2	0	2	0	0	2	2	2	2	0	2	2	0	0	0	0	2	0	0	0	2	0	0	2	2	2	2	2	0	2	0	0	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	1	0	0	0	2	2	0	0	2	2	0	0	0	2	0	2	2	0	2	2	0	0	0	2	0	0	2	0	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	0	2	0	0
Amphimedon_queenslandica	2	2	2	2	1	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	0	2	2	0	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	0	2	2	0	2	2	0	2	2	2	2	2	0	0	2	2	2	2	0	2	2	2	0	2	0	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	0	2	2	1	2	0	0	0	2	2	2	2	0	2	2	2	2	2	0	0	2	2	2	2	0	2	2	0	0	2	0	2	0	0	2	0	0	2	0	2	0	2	2	0	2	2	2	1	2	0	2	2	0	0	2	1	2	2	0	2	2	2	2	0	2	2	2	0	0	2	0	2	0	2	0	0	2	0	2	2	0	0	2	0	2	2	0	0	2	2	0	0	0	2	2	2	0	0	2	2	2	2	2	0	2	0	0	0	2	2	0	0	2	2	0	0	2	2	0	2	2	0	2	2	2	0	0	2	0	0	0	0	2	0	2	2	2	0	2	0	0	2	0	2	2	2	2	2	0	0	0	2	2	2	0	0	0	2	0	2	2	2	2	0	0	0	2	0	0	2	0	2	2	0	2	2	0	2	2	0	0	2	2	2	2	2	2	2	2	0	0	2	2	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	2	2	2	0	2	2	2	0	0	0	0	0	0
Kudoa_iwatai	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	0	2	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	2	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	2	0	1	0	2	0	0	0	0	0	0	0
Myxobolus_cerebralis	2	0	0	0	2	2	0	0	0	0	2	0	0	2	2	2	0	2	0	0	2	2	2	0	0	0	2	0	0	2	1	0	0	2	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	2	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
