Species	1-371	372-682	683-957	958-1137	1138-1349	1350-1577	1578-1817	1818-1997	1998-2206	2207-2419	2420-2588	2589-2750	2751-2940	2941-3134	3135-3254	3255-3449	3450-3624	3625-3796	3797-3963	3964-4143	4144-4289	4290-4396	4397-4535	4536-4674	4675-4794	4795-4927	4928-5060	5061-5132	5133-5240	5241-5291	5292-5400	5401-5512	5513-5644	5645-5757	5758-5876	5877-5978	5979-6069	6070-6175	6176-6262	6263-6353	6354-6413	6414-6464	6465-6516	6517-6788	6789-6878	6879-6989	6990-7225	7226-7452	7453-7704	7705-7956	7957-8148	8149-8373	8374-8553	8554-8733	8734-8909	8910-9014	9015-9154	9155-9274	9275-9425	9426-9566	9567-9698	9699-9828	9829-9968	9969-10086	10087-10229	10230-10360	10361-10463	10464-10544	10545-10687	10688-10807	10808-10893	10894-10994	10995-11078	11079-11156	11157-11213	11214-11269	11270-11329	11330-11546
Hydra_magnipapillata	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2
Acropora_millepora	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Nematostella_vectensis	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Ptychodera_flava	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Strongylocentrotus_purpuratus	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2
Ciona_intestinalis	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Homo_sapiens	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Takifugu_rubripes	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Priapulus_caudatus	0	2	1	2	2	0	0	2	2	2	2	0	2	2	2	2	0	0	0	0	0	2	2	2	2	0	2	2	2	0	2	0	0	0	2	2	2	0	2	2	0	2	2	0	2	2	2	0	2	0	2	0	0	2	2	2	2	2	2	2	2	0	0	2	2	0	2	0	1	2	2	2	2	0	2	2	0	0
Hypsibius_dujardini	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Xiphinema_index	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	0	2	2	0	0	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	0	2
Ascaris_suum	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2
Caenorhabditis_elegans	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2
Euperipatoides_kanangrensis	0	2	2	2	2	0	0	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	0	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	0	2	0	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2
Ixodes_scapularis	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Homarus_americanus	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Daphnia_pulex	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2
Anopheles_gambiae	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Apis_mellifera	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Gnathostomula_peregrina	0	2	2	2	0	2	0	2	2	2	0	2	0	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	0	0	2	2	2	2	0	2	2	2	2	2	2	0	0	2	2	2	2	0	2	0	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0
Philodina_roseola	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2
Pomphorhynchus_laevis	0	0	0	0	2	0	2	2	2	0	2	2	2	2	0	0	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Paraplanocera_sp.	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2
Macrostomum_lignano	2	2	2	2	2	0	2	0	2	0	2	2	2	2	2	1	2	2	2	2	2	2	2	2	0	2	2	0	2	0	0	2	2	0	2	2	0	0	0	2	0	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	1	2	2	2	2	0	2	0	0	2	2	2	0	2	0	2
Echinococcus_granulosus	2	1	2	2	1	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2
Schistosoma_mansoni	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2
Barentsia_elongata	0	0	2	0	2	2	0	0	2	0	2	0	0	2	0	0	2	2	2	2	2	0	0	0	0	0	2	2	0	2	2	2	2	0	0	0	0	2	0	2	0	2	2	0	2	2	1	0	2	2	0	0	0	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	0	0	2	0	0	0	2
Pedicellina_cernua	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	0	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
Cristatella_mucedo	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
