Species	1-238	239-857	858-1000	1001-1165	1166-1325	1326-1848	1849-1981	1982-2141	2142-2368	2369-2665	2666-2832	2833-2973	2974-3076	3077-3349	3350-3678	3679-4049	4050-4327	4328-4536	4537-4695	4696-5000	5001-5371	5372-5788	5789-6229	6230-6538	6539-6797	6798-7043	7044-7364	7365-7567	7568-7703	7704-7825	7826-8240	8241-8484	8485-8766	8767-9018	9019-9187
Monosig_ov	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2
Protero_sp	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	0	2	2	2
Monosig_br	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2
Pleurob_pi	1	0	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	0	2	2	2	2	2	2	2	0	2	2	2	2
Beroe_sp__	1	1	2	2	2	2	2	1	2	0	2	2	2	1	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	0	2	0	2	2
Mnemiop_le	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	0	2	2	2	0	2	2	2	2	0	0	2
Mertens_sp	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	2	2	0	0	0	0	0	0	2	0	0	0	0	0
Oscarel_sp	2	2	2	2	2	2	2	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	1	2
Leucett_ch	2	2	2	2	2	1	2	1	2	2	2	2	0	2	0	2	0	2	2	0	0	2	0	1	2	2	2	2	2	2	1	2	0	2	1
Sycon_raph	2	0	2	0	2	2	0	1	2	2	2	2	2	0	2	2	2	2	2	0	2	0	0	2	0	2	0	2	2	2	0	0	0	1	2
Sycon_cili	2	2	2	2	2	2	0	2	2	0	2	2	2	0	0	2	0	2	2	0	1	0	0	0	1	2	0	0	2	0	0	2	1	2	2
Cratero_me	2	0	2	2	2	0	2	0	2	2	2	2	2	2	2	2	0	2	2	1	2	0	0	0	0	2	0	2	2	2	1	0	0	2	0
Oopsacas_m	2	0	0	2	2	2	2	2	0	2	2	2	0	0	0	2	0	2	2	0	0	0	0	0	2	2	0	0	0	0	2	0	0	2	2
Heteroc_ca	2	0	2	2	2	1	0	2	2	1	2	2	2	0	0	2	1	2	2	1	2	0	0	0	1	1	1	2	0	2	1	0	2	2	2
Carteri_fo	2	2	2	2	2	0	0	1	0	0	0	2	0	2	2	2	2	2	0	1	0	2	0	0	1	2	2	2	2	2	0	0	0	2	2
Pachydi_gl	2	0	2	2	1	0	0	1	0	0	2	2	0	0	0	2	0	0	1	0	0	0	2	1	1	2	2	0	2	0	0	0	0	0	2
Lubomir_ba	2	0	2	2	2	0	0	2	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	1	2	0	0	0	2	2	2
Ephydat_mu	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
Amphime_qu	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Astrosc_wi	2	1	2	2	2	0	1	2	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	2	2	0	2	2	2	0	2	0	2	2
Tethya_wil	2	2	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	1	1	1	1	2	2	2	2	0	2	1	0	2	2	2
Suberit_do	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Asbesto_sp	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2
Trichop_ad	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Trichop_H4	2	0	2	2	2	0	2	2	2	2	2	2	0	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2
Clytia_hem	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Podocor_ca	2	0	2	2	0	2	2	0	2	0	0	0	0	0	2	2	0	2	2	2	0	0	2	1	2	2	0	0	2	2	1	1	2	0	0
Hydract_ec	2	1	2	0	0	2	2	2	2	0	0	2	1	0	2	2	0	2	1	1	0	0	2	2	2	2	2	1	2	2	1	0	2	0	0
Hydra_vulg	2	0	2	2	0	2	2	2	2	0	0	2	0	0	2	2	2	2	0	0	2	0	2	2	2	2	0	2	2	2	1	0	0	1	2
Hydra_magn	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
