Species	1-421	422-774	775-1573	1574-1853	1854-1962	1963-2228	2229-2341	2342-2497	2498-2652	2653-2965	2966-3339	3340-3460	3461-3862	3863-4073	4074-4281	4282-4445	4446-4607	4608-4763	4764-4928	4929-5032	5033-5231	5232-5385	5386-5540	5541-5700	5701-5876	5877-6023	6024-6102	6103-6230	6231-6338	6339-6454	6455-6579	6580-6699	6700-6831	6832-7198	7199-7300	7301-7406	7407-7529	7530-7632	7633-7750	7751-7851	7852-7931	7932-8015	8016-8103	8104-8165	8166-8215	8216-8317	8318-8607	8608-8873	8874-9004	9005-9207	9208-9429	9430-9678	9679-9829	9830-10103	10104-10178	10179-10255	10256-10476	10477-10566	10567-10695	10696-10809	10810-10959	10960-11085	11086-11222	11223-11349	11350-11481	11482-11587	11588-11738	11739-11865	11866-12078	12079-12174	12175-12316	12317-12428	12429-12506	12507-12604	12605-12685	12686-12742	12743-12801	12802-12854	12855-13064	13065-13322	13323-13509	13510-13717	13718-13880	13881-14059	14060-14229	14230-14429	14430-14612
Monosig_ov	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2
Protero_sp	0	0	2	2	0	2	0	0	0	0	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	0	0	2	0	2	0	2	2	2	0	2	0	2	0	0	0	0	2	2	0	2	2	2	2	2	1	2	2	2	0	0	2	0	2	0	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	0
Monosig_br	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Trichop_ad	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Trichop_H4	2	2	1	0	2	0	2	0	1	0	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	1	2	2	0	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0
Leucett_ch	2	2	2	0	2	2	2	2	0	1	1	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0
Sycon_raph	2	2	1	1	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
Leucoso_sp	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corticium_	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Oscarel_lo	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0
Oscarel_ca	2	2	2	2	2	1	2	0	0	2	0	0	2	2	2	2	2	0	2	0	0	2	2	2	0	2	2	0	2	0	0	0	0	2	0	0	0	2	2	2	0	0	0	2	0	0	2	2	2	2	0	2	0	2	0	0	2	2	2	0	2	2	0	0	2	0	0	0	2	0	0	2	0	0	2	2	0	0	2	2	0	0	1	2	2	2	0
Oopsacas_m	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	2	2	0	0	0	0	0	0	0	0	2	0	0
Cratero_me	2	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	2	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	2	2	0	2	0	0	0	0	0
Heteroc_ca	2	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	2	0	0	2
Aphroca_va	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carteri_fo	2	0	1	1	2	0	0	0	0	0	0	0	0	2	0	2	2	1	2	2	0	0	2	0	0	2	0	0	2	2	0	2	0	1	0	0	2	0	2	2	0	2	2	0	0	2	1	0	2	2	0	2	2	2	0	2	2	0	2	2	2	2	0	0	2	2	2	2	2	2	2	2	0	2	0	2	0	0	0	2	1	2	1	2	2	1	0
Amphime_qu	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Pachydi_gl	0	0	1	0	0	0	0	0	0	0	0	2	0	2	1	2	1	1	1	2	2	2	1	2	2	0	2	2	2	2	0	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	1	2	2	2	2	1	0	2	2	2	2	2	2	0	2	2	2	1	2	2	0	2	1	2	2	2	2	2	1	2	1	2	2	0	1	0
Lubomir_ba	0	0	1	0	0	0	0	0	0	1	1	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	1	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	0
Ephydat_mu	2	2	2	2	0	2	0	0	0	2	2	0	2	2	2	2	2	2	2	0	0	2	0	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	0	0	2	0	2	2	0	2	2	2	2	2	2	2	2	0
Astrosc_wi	0	0	0	0	2	0	2	0	0	2	2	2	0	0	2	0	0	0	2	0	0	0	2	2	0	0	2	0	0	0	0	2	2	2	2	0	2	0	0	0	0	2	2	2	2	2	1	0	0	0	2	0	0	2	2	2	0	0	0	2	0	0	2	0	0	0	2	0	0	0	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0
Tethya_wil	1	2	1	0	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Asbesto_sp	2	2	1	2	2	0	2	2	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
Suberit_fu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Suberit_do	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
