Species	1-221	222-473	474-838	839-1223	1224-1605	1606-2006	2007-2818	2819-3234	3235-3444	3445-4049	4050-4602	4603-4968	4969-5098	5099-5241	5242-5710	5711-6578
Heterocapsa_rotundata	2	0	2	2	2	0	0	0	0	0	0	0	0	0	2	2
Alexandrium_tamarense	2	2	2	2	0	0	2	1	2	2	2	2	2	2	1	2
Crypthecodinium_cohnii	0	0	2	0	2	0	0	0	0	2	2	0	0	0	0	2
Karenia_brevis	2	0	2	2	2	0	2	2	0	2	2	2	0	0	2	2
Oxyrrhis_marina	0	0	2	2	2	0	0	0	0	0	2	0	0	2	0	2
Perkinsus_marinus	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2
Theileria_parva	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Plasmodium_berghei	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Toxoplasma_gondii	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2
Eimeria_tenella	2	0	2	0	2	2	0	2	0	0	2	2	2	2	0	2
Stylonychia_lemnae	0	0	2	2	2	2	0	0	0	2	0	0	0	0	0	2
Nyctotherus_ovalis	2	2	2	2	2	2	2	0	2	0	2	0	0	2	2	2
Paramecium_tetraurelia	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Tetrahymena_thermophila	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Chilodonella_uncinata	2	0	2	2	2	2	0	0	2	0	2	0	2	2	0	2
Reticulomyxa_filosa	2	0	2	2	2	0	0	2	2	1	1	2	0	0	0	2
Ovammina_opaca	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	2
Plasmodiophora_brassicae	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	2
Bigelowiella_natans	2	2	2	2	2	0	1	2	2	0	1	2	2	2	2	2
Gromia_oviformis	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2
Heteromita_globosa	2	1	2	2	2	0	1	0	2	0	0	0	2	2	0	2
Thalassiosira_pseudonana	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Phaeodactylum_tricornutum	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Aureococcus_anophagefferens	2	2	2	2	2	2	2	2	2	2	1	2	0	2	2	2
Heterosigma_akashiwo	0	0	2	2	2	0	0	2	0	2	2	0	0	0	0	2
Apodachlya_brachynema	0	0	2	2	2	2	0	2	0	0	2	0	0	0	0	2
Phytophthora_infestans	2	2	2	2	2	2	2	1	2	2	2	2	2	2	0	2
Isochrysis_galbana	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2
Emiliania_huxleyi	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2
Prymnesium_parvum	2	2	2	2	2	0	2	2	2	2	2	2	0	2	0	2
Pavlova_lutheri	2	2	2	2	2	0	2	1	2	2	2	0	0	2	2	2
Oryza_sativa	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Arabidopsis_thaliana	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Welwitschia_mirabilis	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2
Ginkgo_biloba	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2
Physcomitrella_patens	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Mesostigma_viride	2	2	2	2	2	0	2	1	2	2	2	2	2	2	0	2
Volvox_carteri	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2
Chlamydomonas_reinhardtii	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2
Acetabularia_acetabulum	2	2	2	2	2	2	0	0	2	0	0	0	0	0	2	2
Micromonas_pusilla	2	2	2	2	2	0	2	2	2	2	1	2	2	2	2	2
Guillardia_theta	2	0	2	2	2	0	1	0	1	2	2	0	2	0	2	2
Leucocryptos_marina	0	0	2	2	2	0	2	0	0	2	2	0	0	0	0	2
Chondrus_crispus	2	2	2	2	2	0	2	1	2	2	2	2	0	0	2	2
Porphyra_yezoensis	2	2	2	2	2	2	2	1	2	0	0	2	2	2	1	2
Cyanidioschyzon_merolae	0	0	2	2	2	2	2	0	0	0	2	0	0	0	0	2
Glaucocystis_nostochinearum	2	2	2	2	2	2	1	0	2	0	2	0	2	2	2	2
Cyanophora_paradoxa	2	2	2	2	2	2	2	1	2	2	0	2	2	2	1	2
Trypanosoma_brucei	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Leishmania_major	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Bodo_saltans	0	0	2	2	2	2	0	0	0	2	2	0	0	2	0	2
Diplonema_papillatum	1	2	2	2	2	0	1	0	1	1	1	1	2	2	2	2
Euglena_longa	2	2	2	2	2	2	2	1	2	2	2	2	0	2	0	2
Euglena_gracilis	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2
Entosiphon_sulcatum	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	2
Jakoba_libera	2	2	2	2	2	2	1	0	0	0	1	1	0	2	1	2
Reclinomonas_americana	0	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2
Seculamonas_ecuadoriensis	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
Naegleria_gruberi	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
Sawyeria_marylandensis	2	0	2	2	0	2	0	2	2	1	1	2	2	2	2	2
Trichomonas_vaginalis	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Spironucleus_barkhanus	0	2	0	2	2	2	2	2	2	2	2	0	2	2	0	2
Carpediemonas_membranifera	0	0	0	2	2	0	0	0	0	2	2	0	0	0	0	2
Streblomastix_strix	2	2	2	2	2	2	1	1	2	0	2	2	2	0	0	2
Trimastix_pyriformis_ATCC_50562	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Malawimonas_jakobiformis	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2
Acanthamoeba_castellanii	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2
Hartmannella_vermiformis	2	0	2	2	2	1	1	0	2	1	2	2	2	2	1	2
Arcella_hemisphaerica	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2
Entamoeba_histolytica	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Dictyostelium_discoideum	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Physarum_polycephalum	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2
Capitella_capitata	2	2	2	0	0	0	0	2	2	2	0	2	2	2	2	2
Aplysia_californica	0	2	2	2	2	2	0	2	2	0	1	2	2	2	2	2
Schistosoma_mansoni	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2
Drosophila_melanogaster	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Caenorhabditis_elegans	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Gallus_gallus	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Homo_sapiens	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Branchiostoma_floridae	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Oscarella_carmela	2	2	2	2	2	1	2	0	2	1	1	0	0	0	1	2
Aphrocallistes_vastus	0	0	0	2	2	0	0	0	0	2	2	0	0	0	0	2
Mnemiopsis_leidyi	2	2	2	2	2	1	0	0	2	0	1	0	2	2	2	2
Nematostella_vectensis	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Monosiga_brevicollis	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2
Amoebidium_parasiticum	2	2	2	0	0	2	2	2	2	2	0	0	2	0	2	2
Sphaeroforma_arctica	2	2	2	2	0	0	1	2	2	2	0	2	2	2	1	2
Capsaspora_owczarzaki	2	2	2	1	0	2	1	2	2	2	2	2	2	2	2	2
Candida_albicans	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
Saccharomyces_cerevisiae	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Schizosaccharomyces_pombe	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Phanerochaete_chrysosporium	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2
Ustilago_maydis	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2
Glomus_intraradices	2	2	2	2	2	2	0	0	0	0	2	2	0	0	0	2
