Species	1-136	137-301	302-519	520-1015	1016-1519	1520-2018	2019-2497	2498-3020	3021-3533	3534-4039	4040-4490	4491-4991	4992-5499	5500-5911	5912-6688	6689-6807	6808-7032	7033-7241	7242-7824	7825-8393	8394-9023	9024-9140	9141-9299	9300-9736	9737-10120	10121-10483	10484-10601	10602-10724	10725-10959	10960-11342	11343-11746	11747-12131	12132-12524	12525-12935	12936-13667	13668-14022	14023-14234	14235-14469	14470-14680	14681-14898	14899-15106	15107-15327	15328-15558	15559-15740	15741-15943	15944-16139	16140-16373	16374-16574	16575-16773	16774-16955	16956-17168	17169-17337	17338-17500	17501-17676	17677-17784	17785-17988	17989-18161	18162-18316	18317-18481	18482-18661	18662-18909	18910-19065	19066-19219	19220-19306	19307-19435	19436-19552	19553-19679	19680-19798	19799-19919	19920-20054	20055-20425	20426-20530	20531-20638	20639-20767	20768-20871	20872-20975	20976-21094	21095-21175	21176-21260	21261-21323	21324-21374	21375-21477	21478-21566	21567-21863	21864-22111	22112-22251	22252-22455	22456-22622	22623-22892	22893-23123	23124-23214	23215-23349	23350-23500	23501-23634	23635-23772	23773-23909	23910-24016	24017-24168	24169-24298	24299-24512	24513-24617	24618-24746	24747-24889	24890-25007	25008-25086	25087-25186	25187-25268	25269-25326	25327-25386	25387-25441	25442-25654	25655-25907	25908-26095	26096-26308	26309-26477	26478-26662	26663-26833	26834-27244	27245-27448	27449-27815	27816-28114	28115-28404	28405-28646	28647-28790	28791-29347	29348-29821	29822-30016	30017-30257
Batrachochytrium_dendrobatidis	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
Spizellomyces_punctatus	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
Allomyces_macrogynus	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2
Phycomyces_blakesleeanus	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2
Rhizopus_oryzae	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2
Capsaspora_owczarzaki	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Amoebidium_parasiticum	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	2	2	0	2	0	0	0	0	0	1	0	2	0	1	0	1	0	1	0	0	2	2	2	0	0	0	0	1	0	2	2	2	2	2	2	1	0	0	0	1	2	0	2	2	0	0	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	2	2	1	0	1	2	0	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	1	2	2	1	0	0	0	0	0	0	0	2
Sphaeroforma_arctica	0	2	2	2	0	1	2	1	0	1	0	1	2	0	1	2	2	2	2	2	2	0	2	1	0	1	2	2	2	0	2	2	0	0	2	2	2	2	0	2	2	0	2	2	2	0	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2
Monosiga_ovata	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Monosiga_brevicollis	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
