Species	1-93	94-313	314-597	598-748	749-986	987-1178	1179-1642	1643-1728	1729-1851	1852-2017	2018-2192	2193-2519	2520-2685	2686-2829	2830-3076	3077-3286	3287-3572	3573-3954	3955-4196	4197-4292	4293-4596	4597-4807	4808-5050	5051-5787	5788-5982	5983-6149	6150-6422	6423-6503	6504-6734	6735-6878	6879-7088	7089-7217	7218-7494	7495-7597	7598-7783	7784-7977	7978-8273	8274-8474	8475-8742	8743-8869	8870-9027	9028-9235	9236-9394	9395-9482	9483-9647	9648-9915	9916-10100	10101-10401	10402-10616	10617-10818	10819-11004	11005-11152	11153-11400	11401-11690	11691-11938	11939-12223	12224-12362	12363-12562	12563-12711	12712-12806	12807-12967	12968-13229	13230-13422	13423-13639	13640-13858	13859-14059	14060-14168	14169-14516	14517-14687	14688-15080	15081-15362	15363-15684	15685-15957	15958-16285	16286-16588	16589-16846	16847-17023	17024-17295	17296-17399	17400-17520	17521-17732	17733-17811	17812-17983	17984-18130	18131-18248	18249-18509	18510-18771	18772-18907	18908-18985	18986-19140	19141-19287	19288-19433	19434-19600	19601-19702	19703-19892	19893-20183	20184-20362	20363-20551	20552-20706	20707-21229	21230-21627	21628-21771	21772-22083	22084-22319	22320-22536	22537-22805	22806-22917	22918-23296	23297-23358	23359-23753	23754-24009	24010-24610	24611-24766	24767-24924	24925-25021	25022-25240	25241-25443	25444-25628	25629-25711	25712-25913	25914-26109	26110-26222	26223-26351	26352-26650	26651-27029	27030-27151	27152-27382	27383-27550	27551-28094	28095-28345	28346-28473	28474-28689	28690-28874	28875-29195	29196-29321	29322-29638	29639-29763	29764-30048	30049-30291	30292-30461	30462-30796	30797-31008	31009-31133	31134-31349	31350-31841	31842-32009	32010-32123	32124-32429	32430-32623	32624-32869	32870-33199	33200-33456	33457-33608	33609-33733	33734-34051	34052-34239	34240-34332	34333-34568	34569-34718	34719-34837	34838-34972	34973-35163	35164-35382	35383-35647	35648-35821	35822-36068	36069-36222	36223-36397	36398-36701	36702-36854	36855-37039	37040-37282	37283-37479	37480-37691	37692-37957	37958-38158	38159-38366	38367-38468	38469-38688	38689-38789	38790-38988	38989-39142	39143-39246	39247-39401	39402-39554	39555-39825	39826-39943	39944-40181	40182-40449	40450-40851	40852-40992	40993-41143	41144-41475	41476-41757	41758-42108	42109-42370	42371-42578	42579-42752	42753-42878	42879-43172	43173-43342	43343-43624	43625-43842	43843-44023	44024-44198	44199-44339	44340-44456	44457-44768	44769-44948	44949-45132	45133-45242	45243-45418	45419-45498	45499-45773	45774-46018	46019-46210	46211-46430	46431-46804	46805-47102	47103-47285	47286-47481	47482-47791	47792-47931	47932-48014	48015-48202	48203-48330	48331-48532	48533-49255	49256-49521	49522-49670	49671-49998	49999-50136	50137-50363	50364-50476	50477-50706	50707-50874	50875-51194	51195-51412	51413-51633	51634-51824	51825-51912	51913-52077	52078-52290	52291-52445	52446-52533	52534-52717	52718-53015	53016-53232	53233-53479	53480-53576	53577-53704	53705-53814	53815-53961	53962-54208	54209-54413	54414-54629	54630-54774	54775-54909	54910-55191	55192-55327	55328-55511	55512-55664	55665-55920	55921-56119	56120-56262	56263-56425	56426-56579	56580-56964	56965-57269	57270-57400	57401-57613	57614-57875	57876-58061	58062-58196	58197-58350	58351-58608	58609-58948	58949-59060	59061-59209	59210-59470	59471-59655	59656-59881	59882-60008	60009-60081	60082-60329	60330-60536	60537-61003	61004-61181	61182-61463	61464-61607	61608-61817	61818-62083	62084-62337	62338-62573	62574-62799	62800-63757	63758-64022	64023-64234	64235-64403	64404-64586	64587-64803	64804-65038	65039-65211	65212-65326	65327-65614	65615-65823	65824-65972	65973-66284	66285-66664	66665-66840	66841-66948	66949-67089	67090-67464	67465-67646	67647-67912	67913-68127	68128-68305	68306-68592	68593-68852	68853-69010	69011-69294	69295-69522	69523-69648	69649-69898	69899-70052	70053-70287	70288-70405	70406-70495	70496-70701	70702-70785	70786-70982	70983-71228	71229-71477	71478-71633	71634-72078	72079-72230	72231-72388	72389-72606	72607-72978	72979-73107	73108-73508	73509-73862	73863-74083	74084-74297	74298-74638	74639-74778	74779-74939	74940-75164	75165-75435	75436-75783	75784-76021	76022-76190	76191-76566	76567-76758	76759-76889	76890-77153	77154-77331	77332-77741	77742-77881	77882-78153	78154-78318	78319-78576	78577-78804	78805-79054	79055-79182	79183-79300	79301-79470	79471-79617	79618-79850	79851-80194	80195-80345	80346-80685	80686-80925	80926-81135	81136-81302	81303-81552	81553-81759	81760-81982	81983-82171	82172-82398	82399-82517	82518-82683	82684-82841	82842-83076	83077-83325	83326-83612	83613-83757	83758-83940	83941-84275	84276-84396	84397-84587	84588-84820	84821-85166	85167-85572	85573-85788	85789-85918	85919-86162	86163-86399	86400-86639	86640-86881	86882-87046	87047-87303	87304-87533	87534-87786	87787-87976	87977-88384
Spizellomyces_punctatus	100	0	0	88	85	0	95	74	100	99	87	93	82	0	98	100	92	94	94	98	83	93	97	98	85	92	95	99	93	86	0	96	91	98	0	98	96	0	96	99	82	81	0	0	91	0	97	96	0	92	91	0	94	0	98	94	77	83	67	96	96	94	0	85	93	0	94	96	100	96	93	87	87	92	95	93	86	95	98	0	94	90	88	96	99	0	99	98	98	88	96	86	93	98	100	94	95	93	97	99	97	92	89	89	99	96	91	77	97	95	96	96	100	93	0	0	87	89	91	98	96	98	93	95	94	0	0	91	96	90	92	95	95	99	92	96	89	100	89	83	94	89	0	96	93	88	0	99	97	96	0	78	92	95	93	93	88	93	100	91	95	96	86	98	85	97	89	0	92	93	93	95	86	95	93	95	88	0	86	0	85	96	80	77	99	92	0	91	95	97	87	94	97	97	96	91	87	0	89	86	95	90	88	94	87	100	94	100	89	95	99	94	94	94	90	99	0	96	88	92	96	92	95	0	89	98	90	97	93	96	97	82	97	100	91	91	0	89	89	95	99	91	93	93	0	93	91	98	0	93	84	97	98	93	96	0	91	95	86	85	99	85	98	97	89	90	93	91	97	80	93	92	90	97	95	0	96	99	0	86	93	94	90	0	95	91	98	90	94	87	0	88	94	96	95	93	93	82	91	92	89	92	98	99	92	91	97	95	97	99	0	92	94	91	97	95	96	98	80	98	0	86	0	85	0	98	100	95	86	97	0	94	97	89	98	100	94	76	0	88	95	95	85	88	86	98	92	74	93	95	0	98	94	93	94	0	63	97	95	0	96	88	0	96	98	83	95	83	99	98	0	93	95	98	0	92	93	92	88	97	96	92	90	89	97	88	97	92	92	0	97	85	94	95	96	94	87	89	0	93	88	96	94	92	93	0
Batrachochytrium_dendrobatidis	100	0	0	88	85	0	89	0	100	78	88	95	63	0	92	100	93	94	94	0	86	61	97	98	85	95	95	99	93	84	91	81	91	98	0	70	95	98	73	99	96	89	97	0	60	96	97	96	0	93	71	0	96	0	95	92	0	44	67	96	76	94	0	48	52	77	94	95	78	96	79	89	82	92	93	93	67	96	98	0	94	0	85	96	98	84	99	82	0	0	96	76	93	89	100	97	95	93	97	99	97	92	90	83	99	96	91	93	0	95	96	96	100	94	0	74	93	89	91	98	96	96	93	95	87	0	90	75	97	91	92	88	95	99	91	97	90	100	65	84	71	89	0	95	88	88	0	99	89	85	86	89	92	95	93	93	88	87	100	74	95	94	63	97	85	97	90	0	92	72	97	83	86	95	93	84	91	98	87	0	88	90	80	81	99	77	0	90	95	97	96	75	97	97	76	0	93	0	87	86	93	93	0	94	80	100	82	100	0	95	99	94	94	94	85	78	0	87	86	94	95	91	95	0	89	98	88	97	93	96	93	0	97	100	72	90	0	94	89	96	99	80	96	98	0	92	89	98	0	93	0	97	92	83	0	87	91	94	83	0	99	85	92	64	0	56	62	86	96	89	93	92	94	97	95	72	96	99	86	81	93	94	90	0	96	84	98	90	94	87	0	87	93	71	95	93	93	81	95	91	89	83	0	0	93	74	70	97	97	99	0	92	94	0	100	89	99	98	90	98	94	88	0	76	0	82	100	0	84	74	0	94	97	89	98	100	0	99	99	88	95	85	85	0	94	98	91	74	76	95	0	73	94	93	93	96	98	94	95	0	94	87	61	97	85	83	95	0	100	96	0	93	95	97	0	93	93	92	88	97	92	92	94	0	97	87	91	92	95	92	97	96	89	92	96	94	87	79	86	93	0	93	68	92	73	0
Saccharomyces_cerevisiae	100	0	0	0	95	0	91	92	100	99	89	97	96	95	95	100	85	96	95	98	0	98	98	87	89	98	0	99	93	0	0	96	91	100	0	99	92	100	0	99	0	91	95	91	91	0	97	97	0	93	0	0	98	0	96	95	87	87	91	96	98	94	0	93	0	76	94	0	93	96	93	89	0	94	94	93	89	96	100	0	0	98	87	97	99	86	99	100	99	88	98	85	94	98	100	90	0	98	96	99	98	93	87	87	100	96	91	92	97	96	98	98	0	96	0	94	0	87	92	99	97	88	98	97	96	0	93	0	12	90	92	95	92	0	89	97	90	0	89	86	96	92	0	93	93	93	0	97	97	94	0	92	90	95	97	96	0	0	0	97	94	97	93	0	96	97	89	0	94	95	94	96	87	88	93	96	90	0	72	99	0	97	88	95	98	96	0	90	84	97	96	96	0	0	97	0	99	0	0	87	0	93	0	0	85	100	79	99	92	97	99	91	94	96	96	99	0	98	83	0	95	94	0	81	96	100	84	98	0	94	97	79	0	100	90	88	0	95	89	97	93	90	89	94	87	95	90	98	0	93	83	0	98	94	0	0	94	74	93	0	0	87	98	0	89	93	94	87	97	90	98	95	0	95	97	86	95	0	86	84	0	0	87	96	80	0	99	93	96	0	0	0	95	0	0	92	93	81	95	76	0	95	96	99	93	98	96	95	98	98	0	93	97	96	0	0	100	97	92	99	94	84	0	89	0	98	100	95	94	90	0	92	97	87	98	100	94	99	100	88	96	98	85	88	96	99	92	0	94	0	0	96	95	0	92	0	95	94	95	0	0	91	87	95	99	0	0	94	97	100	0	97	96	97	95	0	95	92	87	98	96	95	90	86	98	88	0	0	92	91	98	95	96	97	99	98	89	91	90	95	90	94	92	93	93	0
Cryptococcus_neoformans	100	0	0	81	86	0	91	94	100	99	93	97	90	0	96	100	95	94	98	98	91	95	97	98	88	96	40	0	92	69	0	94	91	95	0	99	95	98	88	99	0	88	99	93	94	0	98	97	0	94	97	0	96	0	96	96	85	84	75	96	96	95	0	85	93	76	94	95	91	96	94	89	85	84	96	97	89	98	100	0	0	95	87	0	99	89	97	98	99	89	99	88	97	99	99	94	93	97	97	99	97	91	92	94	99	96	91	95	0	95	99	97	100	93	77	90	95	90	0	100	98	98	93	95	95	0	87	93	98	92	76	94	93	99	94	95	88	97	87	86	94	92	0	94	94	89	0	99	97	94	0	92	93	96	95	95	88	0	100	92	96	95	100	96	96	97	89	0	91	95	93	98	88	96	94	96	86	99	78	100	85	87	85	92	99	94	0	90	95	97	98	95	92	98	97	96	83	0	91	87	95	87	93	94	87	100	95	100	88	95	99	94	94	96	87	100	0	98	80	92	94	92	96	85	94	100	86	97	94	96	93	83	0	100	95	91	0	100	89	96	99	88	91	95	88	91	90	98	0	93	86	97	98	98	100	94	89	91	90	86	100	85	98	97	96	91	93	93	96	88	94	95	93	95	95	89	95	99	93	96	94	96	90	96	92	90	100	92	95	91	92	93	93	95	96	94	93	84	93	90	96	91	92	99	93	93	96	95	97	81	0	93	95	98	0	96	100	98	90	99	94	88	0	90	0	99	100	95	86	95	0	94	98	93	98	100	87	0	99	89	96	95	85	86	92	99	92	0	94	95	0	97	97	0	97	0	93	97	95	0	96	92	89	96	99	88	0	95	99	99	84	92	95	98	95	94	94	90	88	98	0	92	73	86	96	90	96	98	40	93	97	97	94	95	97	99	94	92	92	93	93	96	92	92	98	0
Phycomyces_blakesleeanus	100	0	0	60	85	0	83	89	100	100	87	96	82	0	96	100	93	94	94	98	87	91	97	98	86	96	95	99	93	79	92	96	91	100	0	98	96	97	96	99	0	90	34	93	88	0	97	96	0	94	91	0	95	75	96	93	0	85	86	96	95	94	0	83	93	77	94	95	100	97	93	91	85	77	94	93	86	0	100	0	94	0	0	0	93	82	99	98	98	0	96	86	93	0	100	94	90	77	96	99	97	92	89	91	100	0	91	91	97	95	96	97	100	93	57	92	96	86	92	98	96	96	93	96	94	0	89	0	96	89	92	94	92	99	89	97	88	100	86	82	94	90	0	91	92	88	0	99	88	94	95	92	87	95	93	94	88	92	100	92	96	95	98	96	96	97	89	0	88	85	92	95	87	91	92	95	88	98	86	0	84	96	80	92	99	92	0	90	39	97	91	95	98	96	96	91	94	0	89	86	93	74	91	94	87	100	87	100	89	95	99	94	94	97	89	94	97	97	80	92	0	90	95	0	91	98	90	97	90	97	95	81	97	100	85	82	0	94	90	98	99	90	61	96	86	87	90	98	0	93	0	97	98	93	96	0	91	92	87	86	100	85	98	97	92	90	93	90	91	69	93	93	87	95	95	87	95	99	87	86	92	96	90	96	89	92	98	91	94	87	0	88	93	97	96	92	93	79	95	0	91	91	96	87	92	94	95	95	97	97	0	92	95	73	0	95	99	98	90	100	95	86	0	87	0	98	100	99	86	95	89	94	97	87	98	100	92	99	99	89	95	95	85	86	92	98	92	0	93	94	97	96	94	96	94	96	94	97	95	0	97	87	88	96	98	83	93	83	99	99	86	93	95	97	97	94	94	93	93	97	96	91	87	89	97	88	97	90	93	88	97	35	94	91	96	94	91	89	87	93	88	93	92	92	92	0
Rhizopus_orizae	0	0	0	0	0	0	37	74	100	100	0	96	64	0	95	68	71	93	91	98	86	87	97	90	76	0	96	99	84	72	80	96	68	0	0	98	93	55	96	99	0	48	98	93	78	0	74	96	0	94	91	0	96	75	96	73	81	49	84	96	87	94	0	40	93	76	94	86	0	96	93	0	63	77	83	93	42	68	100	0	74	98	83	0	99	87	99	98	98	85	61	61	93	0	100	88	90	75	96	99	97	92	68	63	100	0	91	91	97	91	96	97	59	73	81	35	95	0	92	22	68	65	0	64	92	0	92	75	96	89	55	94	92	99	70	96	88	100	75	83	78	89	0	94	92	88	0	85	97	94	0	91	91	71	0	0	88	89	100	92	96	96	98	97	96	97	89	0	0	88	0	96	50	69	86	84	70	98	80	100	85	96	0	0	76	92	0	90	89	97	0	99	96	0	50	91	69	0	96	85	87	87	90	51	91	100	94	100	87	95	99	86	94	96	80	94	97	91	87	85	92	67	95	0	92	98	90	97	66	97	96	0	95	0	94	68	0	79	90	97	99	91	82	96	86	85	72	98	0	93	0	97	36	79	0	0	91	94	87	85	100	85	98	96	91	75	69	90	96	80	79	0	73	95	95	0	95	99	0	86	92	96	87	96	88	78	98	81	94	88	0	67	93	0	96	92	93	80	95	90	0	91	96	99	85	92	85	95	49	69	0	92	88	75	0	66	99	98	0	100	95	75	0	56	0	98	0	92	59	97	89	94	97	87	98	58	80	91	99	88	95	72	85	56	84	0	92	0	93	94	89	96	94	95	92	97	73	97	90	0	97	68	80	96	0	88	77	83	97	83	0	84	56	56	0	0	45	93	72	87	0	0	88	89	97	88	0	0	91	89	97	70	94	93	96	94	90	89	59	83	0	93	92	89	92	0
Amoebidium_parasiticum	0	0	0	0	0	0	0	0	0	0	0	49	0	78	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	83	59	0	0	0	0	0	0	0	0	0	0	48	75	0	49	0	0	0	0	44	0	0	42	0	0	76	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	63	0	74	0	0	0	0	0	0	0	0	0	95	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	70	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	61	0	0	95	0	0	0	0	0	48	0	0	0	0	19	0	0	0	0	0	91	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	90	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	69	0	96	0	0	0	53	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	53	0	0	0	0	0	0	0	0	98	0	0	0	35	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	65	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0
Sphaeroforma_arctica	0	0	0	0	0	0	32	0	93	0	0	95	0	97	0	0	0	0	0	0	67	42	73	0	0	0	0	0	0	87	91	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	94	0	0	0	0	98	95	0	0	0	0	0	84	96	0	0	0	0	51	0	0	49	0	0	0	0	0	0	0	87	0	0	91	0	0	0	87	96	0	0	0	0	94	0	0	81	0	0	100	0	38	0	0	0	44	0	0	0	0	0	96	0	97	0	0	0	0	0	0	0	0	0	91	80	0	0	0	0	18	0	60	0	0	51	0	0	67	99	0	0	0	0	0	72	0	0	96	0	0	0	0	99	0	0	0	0	0	96	68	0	0	93	100	0	95	0	0	0	96	0	89	0	0	0	97	0	66	0	0	0	0	80	86	0	0	0	0	0	97	0	0	70	0	0	0	0	0	62	0	36	0	0	87	0	0	0	0	0	0	40	0	0	0	0	0	0	94	0	0	98	0	0	0	0	90	0	65	0	0	0	0	0	0	96	60	74	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	53	91	94	58	76	0	85	83	0	91	0	0	0	0	87	93	0	0	97	0	0	0	0	0	0	0	81	86	96	0	0	0	54	0	89	94	0	0	0	93	0	91	0	0	39	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	68	0	0	0	0	0	80	49	0	0	82	95	0	0	97	84	88	0	87	0	0	0	76	0	87	0	0	0	74	0	0	0	0	0	0	94	0	0	57	94	0	0	67	83	0	0	0	0	0	97	0	95	0	79	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	87	0	0	60	0	97	0	0	75	0	0	0	0	83	0	0	59
Capsaspora_owczarzaki	100	0	94	89	88	0	93	92	100	100	86	95	82	0	96	100	91	93	94	98	87	94	98	98	85	97	95	99	93	73	93	96	94	100	0	98	95	98	96	99	0	88	0	0	90	0	94	96	0	94	93	96	97	82	96	93	84	86	0	100	96	94	0	89	91	77	94	95	100	94	95	85	83	92	93	92	92	91	95	88	93	98	85	96	99	85	99	98	92	84	97	86	92	0	100	94	95	94	96	99	98	92	89	89	99	96	91	92	97	95	96	95	100	93	0	92	97	89	91	98	96	95	93	95	94	0	89	93	96	87	92	0	92	99	93	95	0	99	87	83	94	91	96	93	92	87	0	98	97	94	97	68	92	96	93	93	85	92	100	90	95	97	96	93	96	97	89	0	92	0	92	95	86	95	0	95	89	98	75	98	87	97	80	0	99	92	92	92	95	97	96	95	97	97	0	91	96	0	87	86	94	82	90	94	87	100	88	100	91	92	0	91	94	96	90	98	97	96	87	92	95	91	95	0	91	0	93	97	88	96	97	82	98	100	90	88	94	94	89	92	99	0	94	95	86	89	89	98	0	93	85	97	98	93	95	94	89	94	87	87	100	84	98	99	91	91	93	92	96	87	94	92	95	97	95	91	95	99	0	79	92	97	97	96	94	93	97	91	95	89	93	87	95	96	95	94	95	80	95	0	92	90	96	70	94	93	93	95	97	98	0	93	94	0	0	95	99	98	90	100	95	86	94	86	95	97	100	0	86	93	91	94	97	0	98	100	93	98	99	89	95	95	85	86	96	98	92	0	94	94	97	93	94	94	94	97	98	98	94	0	96	87	87	96	98	84	94	85	99	98	83	93	87	97	91	91	93	90	88	97	96	91	0	87	91	88	98	92	90	91	88	97	94	95	97	95	87	89	0	94	89	0	92	93	94	95
Monosiga_ovata	0	0	45	0	77	0	0	91	100	100	0	55	24	0	58	81	71	39	63	0	0	72	88	29	0	70	0	0	79	0	0	97	0	0	92	53	64	77	55	0	44	0	64	93	85	0	93	79	0	0	28	97	66	79	55	72	67	0	0	0	0	61	0	0	79	54	0	54	100	54	0	0	0	40	47	79	80	0	0	88	77	0	0	0	91	64	44	98	99	0	0	0	0	90	97	67	92	93	0	47	67	89	69	0	0	0	88	28	0	58	45	41	100	66	0	90	96	83	0	81	89	0	0	70	27	0	78	93	42	61	92	0	70	69	0	40	91	53	0	50	64	0	80	79	0	90	0	77	0	72	76	0	90	0	28	80	85	72	100	0	89	58	0	51	95	38	89	0	64	0	94	0	0	80	63	95	0	0	86	0	0	0	79	81	97	0	0	79	58	0	0	91	21	85	0	78	0	94	0	0	0	0	55	0	0	0	0	58	64	0	0	70	0	29	0	97	93	34	74	89	83	50	80	0	0	0	0	17	43	0	65	87	0	100	62	0	0	78	0	61	0	0	76	0	0	0	0	86	87	93	88	98	50	0	0	65	0	94	81	82	0	0	95	0	93	0	93	44	0	73	74	80	0	97	96	0	53	0	0	68	0	96	0	0	62	78	36	0	81	0	89	74	0	93	76	0	54	0	75	77	91	66	98	0	0	0	92	52	71	0	0	0	0	0	76	95	62	70	81	0	39	86	95	0	0	0	100	0	0	0	84	0	0	0	44	74	0	0	73	0	0	31	0	0	59	0	0	0	84	53	0	0	45	94	87	80	0	60	50	0	0	82	0	0	84	83	0	84	71	58	0	48	93	0	0	90	61	92	0	0	0	0	82	75	88	89	50	79	36	88	0	59	71	0	88	0	0	80	0	92	87	0	55	57	0	54
