Species	1-1525	1526-3867	3868-4056	4057-4435	4436-4611	4612-4650	4651-4856	4857-5156	5157-5385	5386-5573	5574-5779	5780-6030	6031-6268	6269-6416	6417-6588	6589-6738	6739-6874	6875-7041	7042-7170	7171-7350	7351-7462	7463-7592	7593-7735	7736-7830	7831-8065	8066-8524	8525-8717	8718-9207	9208-9422	9423-9690	9691-10075	10076-10214	10215-10671	10672-11296	11297-11396	11397-11812	11813-12076	12077-12383	12384-12497	12498-12848	12849-13284	13285-13358	13359-13494	13495-13719	13720-13952	13953-15125	15126-15582	15583-16897	16898-17637
Cryptococcus_neoformans	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	0	0	2	2	2	0	0	2	2	2	2	2	2	0	2	2	2	2	1	0
Saccharomyces_cerevisiae	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	2	2	2	2	0	2
Dictyostelium_discoideum	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	1	2
Trypanosoma_brucei	2	1	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0
Tetrahymena_thermophila	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	0	2	2	2	2	0	0	2	1	2	2	2	0	0	2	2	2	2	0	1
Capsaspora_owczarzaki	2	0	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monosiga_ovata	2	0	0	2	2	2	2	2	2	2	2	0	2	2	2	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	0	0	0	2	0	2	2	2	0	2	0	0	0	0	2
Scyphozoa	2	2	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	0	0	0	0	1	2
Acropora_millepora	1	0	2	1	0	0	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nematostella_vectensis	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
Calcarea	2	2	2	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	2	0	0	2	2	0	2	0	0	0	0	0	0	0	2	2	1	1	0	2
Cyanea_capillata	0	0	2	0	0	0	2	0	0	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydra_magnipapillata	2	0	0	0	0	0	1	1	0	2	2	0	2	2	2	2	2	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydractinia_echinata	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	1	0	1	2	0	0	2	2	2	0	1	0	0	0	0	0	0	2	2	0	0	1	0	2
Trichoplax_adhaerens	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2
Hexactinellida	2	2	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	0	2	2	1	1	2	2
Suberites_domuncula	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2
Mertensiid_sp	2	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mnemiopsis_leidyi	2	0	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Amoebidium_parasiticum	2	2	2	0	0	0	2	2	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphaeroforma_arctica	2	0	0	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
