Species	1-170	171-514	515-1041	1042-1379	1380-1731	1732-2018	2019-2455	2456-2830	2831-3241	3242-3722	3723-4121	4122-4548	4549-5329	5330-5539	5540-6049	6050-6495	6496-6917	6918-7272	7273-7364	7365-8114	8115-8351	8352-8476	8477-8600	8601-8818	8819-9182	9183-9571	9572-9970	9971-10367	10368-11124	11125-11303	11304-11485	11486-11705	11706-11925	11926-12163	12164-12389	12390-12634	12635-12822	12823-13026	13027-13214	13215-13461	13462-13665	13666-13870	13871-14073	14074-14126	14127-14419	14420-14627	14628-14796	14797-14959	14960-15140	15141-15263	15264-15467	15468-15662	15663-15829	15830-16014	16015-16200	16201-16450	16451-16626	16627-16785	16786-16884	16885-17019	17020-17167	17168-17307	17308-17411	17412-17803	17804-17908	17909-18018	18019-18149	18150-18258	18259-18364	18365-18478	18479-18573	18574-18624	18625-18714	18715-19068	19069-19262	19263-19491	19492-19672	19673-20173	20174-20299	20300-20448	20449-20598	20599-20737	20738-20815	20816-20952	20953-21071	21072-21197	21198-21309	21310-21536	21537-21642	21643-21772	21773-21915	21916-22037	22038-22111	22112-22196	22197-22279	22280-22432	22433-22483	22484-22702	22703-22959	22960-23149	23150-23364	23365-23557	23558-23755	23756-23925	23926-24351	24352-24564	24565-24975	24976-25227	25228-25518	25519-25653	25654-25917	25918-26193	26194-26335	26336-26549	26550-26752	26753-26848	26849-26918	26919-27004	27005-27119	27120-27364	27365-27449	27450-27597	27598-27710	27711-27820	27821-27947	27948-28151	28152-28269	28270-28395	28396-28582	28583-28682	28683-28765	28766-28882	28883-29180	29181-29288	29289-29461	29462-29730	29731-29960	29961-30145	30146-30237	30238-30393	30394-30591	30592-30755	30756-30892	30893-30978	30979-31038	31039-31337	31338-31451	31452-31610	31611-31711	31712-31862	31863-31939	31940-32060	32061-32277	32278-32374	32375-32491	32492-32602	32603-32813	32814-32961	32962-33050	33051-33173	33174-33249	33250-33420	33421-33592	33593-33848	33849-34018	34019-34136	34137-34249	34250-34451	34452-34648	34649-34725	34726-34828	34829-34927	34928-35155	35156-35326	35327-35429	35430-35632	35633-35896	35897-36155
Hydatina	100	100	100	100	52	100	100	100	100	100	100	100	100	100	87	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	97	100	63	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	92	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100
Aplysia_californica	100	100	100	90	100	100	100	92	100	100	94	100	100	100	100	100	93	100	100	100	100	100	100	100	100	100	100	100	94	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Philine	99	100	100	76	100	100	100	79	100	100	59	51	100	77	87	100	100	100	100	100	100	100	100	100	0	40	100	100	100	97	100	65	100	74	100	100	72	100	62	55	100	72	100	100	100	100	92	100	100	87	100	100	100	100	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	82	100	100	100	100	100	53	100	93	100	100	95	100	100	97	84	100	100	100	100	95	100	78	100	100	100	100	100	100	100	100	96	99	54	100	100	100	100	80	100	100	100	100	100	100	85	100	100	98	100	100	96	100	84	89	100	67	100	90	100	88	93	100	100	99	95	100	100	100	100	100	98	100	100	87	97	100	100	100	100	62	100	100	100	100	99	100	97	55	100	100	100	100	46	100	82	53	100	93	100	54	100	100	100	100	100	100	74	100
Tylodina	100	100	100	100	100	87	100	100	100	100	100	100	100	100	100	100	100	44	100	100	100	100	100	100	100	69	100	100	100	100	100	100	100	53	100	100	77	100	100	100	100	100	100	100	100	100	100	97	99	100	100	100	100	100	100	100	94	100	100	100	100	100	100	100	100	100	100	100	100	100	95	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	64	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	100	99	100	100	100	99	100	100	100	99	100	100	72	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	43	0	100	100	100	100	100	100	100	100	100	100	100	100	99
Oxynoe	100	100	100	75	71	100	100	100	100	100	100	50	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	68	55	100	100	100	100	100	100	100	100	100	100	100	100	100	99	81	100	100	100	100	100	100	100	100	100	100	99	99	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	70	99	100	73	100	100	100	100	0	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	97	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	81	100	100	100	100	100	100	100	100	100	100	55	100	100
Phallomedusa	100	100	100	100	100	75	100	100	100	100	100	100	100	100	100	88	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	93	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	96	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	97	100	100	100	100	100	100	51	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	95	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100
Ophicardelus	100	100	100	81	100	100	100	100	52	84	100	100	100	100	100	100	100	32	100	100	100	100	46	100	100	89	100	100	100	100	100	100	100	100	100	100	100	87	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	75	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	93	88	100	80	100	100	65	100	100	0	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	78	100	100	100	100	100	100	100	100	47	100	100	100	99	100	100	100	100	100	100	55	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100
Microhedyle	100	55	86	54	47	55	60	42	44	39	37	39	56	35	84	71	100	86	100	43	100	100	0	49	66	39	45	48	57	100	73	51	73	100	68	57	66	38	71	62	62	100	90	95	100	72	74	100	73	66	100	73	79	98	56	100	85	98	100	87	98	100	74	65	98	100	100	93	61	0	100	100	100	100	62	87	81	62	99	90	95	88	100	96	100	100	85	100	100	74	81	0	100	82	0	91	0	99	85	85	83	0	74	0	90	74	45	66	100	38	100	77	60	100	69	0	100	0	80	0	79	58	87	36	73	100	100	100	100	70	93	96	100	95	65	67	65	46	73	100	0	65	66	0	0	100	93	68	100	100	100	62	77	80	100	44	49	87	74	0	0	90	64	77	99	34	27	61	30	0	100	0	46	84	65	93	81	54
Pomacea	70	44	31	50	45	0	4	32	39	79	80	26	37	100	42	63	58	0	94	40	70	100	63	56	57	49	0	42	28	0	0	83	76	54	0	53	50	35	56	66	100	0	56	100	74	75	100	0	100	44	100	0	0	79	50	74	100	75	100	74	70	43	59	46	0	0	59	100	100	100	0	100	100	35	77	49	98	28	0	57	68	70	100	47	73	83	100	78	75	100	43	64	38	100	0	42	100	100	58	100	42	100	100	63	43	65	100	0	0	0	44	0	100	41	42	80	60	91	95	65	0	86	100	92	100	88	100	100	100	0	100	53	100	43	100	68	46	85	100	54	55	100	84	78	100	0	100	78	100	36	99	100	51	76	99	100	0	100	65	69	100	40	53	74	0	65	82	61	78	60	100	0	30	71	100	42	45	78
Hinea	91	100	53	100	52	71	78	100	56	57	100	28	62	100	78	0	88	74	100	85	73	73	100	80	0	44	100	68	81	0	100	59	100	100	100	70	99	100	100	100	100	70	100	100	78	100	64	74	100	100	100	92	0	90	100	96	85	100	99	0	100	100	100	84	100	100	0	91	100	100	97	100	100	75	100	67	97	80	85	100	83	100	100	100	97	0	100	100	100	88	0	100	100	100	73	42	87	100	89	100	96	100	36	100	71	100	62	100	91	96	100	100	100	100	100	100	100	75	95	100	100	89	100	100	65	99	34	100	100	47	0	100	100	100	89	70	78	100	100	100	58	100	100	100	92	71	100	100	100	100	100	100	100	100	95	100	100	100	100	100	100	89	100	100	100	100	100	67	100	100	100	100	52	100	100	89	100	100
Urosalpinx	100	64	100	100	100	100	100	100	100	100	100	100	100	100	0	85	100	100	100	100	100	100	100	100	70	100	60	100	100	0	100	100	100	100	100	100	100	100	100	100	100	63	100	0	100	100	100	100	100	100	100	100	0	100	100	96	100	100	100	100	0	100	100	100	100	100	100	100	98	100	100	100	100	100	96	100	98	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	97	100	81	100	100	100	100	100	100	100	100	100	100	90	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	73	100	100	100	100	100	100	100	100	100	100	100	100	99
Euspira	99	100	100	40	100	0	47	31	100	98	0	100	100	100	0	70	100	100	100	100	44	100	100	100	100	46	100	100	100	0	100	78	63	0	100	54	100	100	100	95	100	71	100	100	92	100	100	100	100	100	100	100	0	100	100	96	100	100	100	80	0	100	100	96	100	100	100	100	100	100	100	100	100	100	91	87	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	75	100	100	100	100	100	100	100	100	100	100	24	100	82	100	58	100	100	100	100	100	0	98	100	0	100	100	100	100	89	100	100	100	99	98	100	100	100	53	100	100	100	100	100	100	61	99	97	100	100	71	49	100	100	100	100	100	100	75	99	100	0	100	100	100	100	91	55	52	0	100	100	100	100	100	0	100	100	74	0	77	100	100
Rubyspira	72	91	41	100	89	100	100	65	100	100	100	52	87	100	82	0	62	32	100	50	100	100	96	100	36	47	0	36	76	0	100	99	55	62	44	61	74	40	22	62	100	62	42	100	67	100	96	100	99	79	100	92	0	91	98	60	88	100	100	99	0	100	0	59	100	100	100	100	78	100	95	100	100	50	62	63	100	60	69	99	85	100	100	100	100	89	84	58	100	83	89	96	100	100	0	91	91	90	52	100	95	100	72	92	59	80	59	100	31	55	75	60	97	100	100	61	100	98	86	59	0	92	66	100	100	67	100	100	97	100	96	100	100	53	88	98	100	97	100	100	93	65	97	100	100	33	100	39	100	87	100	90	100	100	85	100	61	94	100	48	100	72	48	64	100	100	98	37	55	100	100	100	96	82	65	100	50	100
Perotrochus	0	75	100	100	52	57	44	45	72	29	78	100	100	100	100	0	100	100	100	100	0	100	0	100	44	73	0	0	0	0	0	0	0	0	0	71	0	0	0	66	77	0	0	0	0	99	99	89	100	78	91	0	0	96	91	94	99	77	0	81	0	61	100	100	0	0	0	0	0	0	0	99	0	100	100	100	92	100	0	0	98	0	100	0	0	100	0	100	100	0	100	0	0	0	0	100	0	100	100	100	100	100	100	0	53	100	24	0	93	0	71	62	0	59	99	0	0	0	0	0	0	0	0	0	0	88	100	100	100	100	0	0	99	100	99	49	51	0	79	100	99	91	0	0	0	51	0	100	0	90	0	0	0	0	0	0	0	100	0	78	0	100	0	62	0	0	100	0	0	0	0	0	0	100	0	0	99	89
Granata	59	0	49	61	40	26	52	40	97	49	53	80	88	100	0	0	0	0	100	66	83	100	100	100	70	84	100	100	50	39	100	55	100	60	61	71	100	80	37	76	39	78	100	0	39	91	100	81	97	100	97	59	0	94	100	76	100	100	88	75	99	95	100	87	100	100	100	88	84	100	100	100	100	47	95	100	80	80	96	98	46	100	100	100	100	88	100	57	100	100	47	63	100	100	100	92	100	100	79	56	100	100	100	44	61	98	38	54	87	95	55	66	77	100	74	80	100	56	100	98	90	27	100	71	81	100	0	97	84	100	100	98	100	100	80	72	95	0	93	64	100	56	0	89	0	100	97	48	43	85	98	92	100	100	100	98	100	78	0	93	100	90	0	41	95	100	100	31	96	100	100	100	60	100	100	100	100	64
Haliotis	40	62	83	0	0	7	28	0	20	21	0	0	52	100	0	0	84	0	100	100	0	100	100	100	0	0	0	72	0	79	0	86	75	43	37	0	66	100	100	52	100	100	33	0	0	100	100	100	100	100	100	100	0	100	100	100	94	100	100	100	100	92	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	79	100	100	100	100	100	100	100	100	100	100	100	100	30	100	0	0	0	0	0	0	60	100	0	95	0	99	0	0	100	0	64	74	0	88	100	100	100	100	100	100	92	100	100	100	0	0	100	100	47	100	0	100	100	41	94	18	100	49	100	81	74	100	99	100	0	94	0	0	100	72	0	23	0	0	100	90	47	100	0	0	63	57	0	0	100	100
Monodonta	100	100	100	100	100	100	100	100	100	100	49	100	100	100	100	100	100	100	100	100	63	100	100	100	100	100	85	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	92	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	53	100	100	100	0	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	0	100	100	100	0	63	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Ennucula	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	0	100	100	100	100	100	100	100	0	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	97	100	96	100	100	100	97	100	100	100	100	100	100	95	100	98	100	100	100	97	100	100	100	100	100	100	100	97	100	0	0	97	99	100	100	100	0	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	0	83	100	100	100	100	100	100	0	100	100	99	99	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	0
Solemya	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	99	100	100	0	100	100	100	100	100	100	0	94	100	100	100	100	100	100	100	97	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	95	93	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	99	100	100	100	0	0	97	100	100	100	100	100	100	99	100	100	100	99	100	100	100	100	0	100	100	100	100	100	100	100	100	73	100	100	100	0	100	100	100	99	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0
