Species	1-236	237-996	997-1383	1384-2117	2118-2720	2721-3448	3449-3967	3968-4143	4144-4224	4225-4439	4440-4908	4909-4983	4984-5064	5065-5367	5368-5504	5505-5636	5637-5802	5803-5993	5994-6230	6231-6378	6379-6677	6678-6869	6870-7040	7041-7296	7297-7602	7603-7730	7731-7946	7947-8285	8286-8619	8620-9188	9189-9380	9381-9502	9503-9915	9916-10071	10072-10125	10126-10228	10229-10732	10733-10985	10986-11122	11123-11204	11205-11364	11365-11489	11490-11616	11617-11712	11713-11935	11936-12207	12208-12363	12364-12491	12492-12636	12637-12957	12958-13316	13317-13576	13577-13878	13879-14112	14113-14692	14693-14824	14825-15134	15135-15303	15304-15617	15618-15792	15793-15877	15878-16256	16257-16466	16467-16878	16879-17058	17059-17241	17242-17752	17753-17992	17993-18123	18124-18344	18345-18615	18616-18852	18853-19160	19161-19655	19656-20250	20251-20970	20971-21778	21779-22081	22082-22359	22360-22705	22706-22850	22851-23112	23113-23433	23434-23633	23634-23926	23927-24085	24086-24420	24421-24607	24608-24743	24744-24930	24931-25226	25227-25388	25389-25674	25675-25960	25961-26186	26187-26583	26584-26812	26813-26988	26989-27295	27296-27596	27597-27873	27874-28171	28172-28424	28425-28759	28760-29106	29107-29752	29753-30003	30004-30642	30643-30998	30999-31210	31211-31649	31650-32303	32304-32855	32856-33572	33573-34287	34288-34827	34828-34955	34956-35231	35232-35326	35327-35625	35626-35842	35843-36005	36006-36189	36190-36312	36313-36756	36757-36922	36923-37065	37066-37281	37282-37517	37518-37694	37695-37846	37847-38149	38150-38265	38266-38462	38463-38646	38647-38760	38761-38862	38863-39014	39015-39779	39780-39957	39958-40179	40180-40337	40338-40576	40577-40745	40746-40909	40910-41216	41217-41541	41542-41683	41684-42045	42046-42486	42487-42781	42782-42953	42954-43182	43183-43414	43415-43683	43684-44096	44097-44616	44617-45496	45497-46020	46021-46163	46164-46225	46226-46316	46317-46511	46512-46623	46624-46723	46724-47030	47031-47320	47321-47508	47509-47668	47669-47865	47866-48098	48099-48227	48228-48439	48440-48722	48723-49003	49004-49388	49389-49897	49898-50284	50285-50757	50758-51102	51103-51645	51646-52221	52222-52566	52567-52649	52650-52840	52841-52908	52909-53131	53132-53261	53262-53422	53423-53591	53592-53722	53723-54161	54162-54266	54267-54649	54650-54950	54951-55089	55090-55270	55271-55403	55404-55609	55610-55880	55881-56213	56214-56335	56336-56516	56517-56701	56702-56882	56883-56977	56978-57230	57231-57791	57792-58948	58949-59733
Allomyces_macrogynus	100	100	100	100	100	100	100	95	98	93	97	98	100	89	100	100	95	100	94	98	99	98	100	100	97	100	99	100	100	99	100	100	0	100	99	100	99	100	100	98	100	98	98	98	83	0	100	100	100	100	100	100	99	100	96	94	100	100	64	0	97	95	94	100	100	100	100	99	100	97	100	100	100	98	99	87	96	100	100	90	100	100	73	0	97	100	100	100	100	96	100	0	95	98	96	100	100	100	29	96	100	100	100	99	100	100	100	100	100	100	99	100	0	100	98	77	98	81	0	66	99	99	0	100	99	99	100	100	95	0	100	97	100	0	96	100	99	100	92	94	95	100	98	99	99	98	80	100	100	97	100	100	100	100	100	99	100	62	100	98	97	96	100	94	100	95	100	100	98	100	100	100	0	100	100	99	99	100	100	100	0	100	36	91	0	100	94	96	97	99	99	94	100	99	98	100	99	100	98	99	99	100	100	100	100	90	100	99	98	100
Spizellomyces_punctatus	100	100	100	100	100	100	0	97	98	94	0	100	100	88	100	100	99	99	99	98	82	100	100	0	97	100	99	100	100	100	100	94	0	94	100	100	97	100	100	0	100	99	100	99	0	95	100	85	100	100	100	100	100	100	100	96	100	98	65	96	97	98	95	99	100	97	100	97	100	100	100	100	100	100	99	88	0	100	99	77	100	100	81	0	91	97	0	96	100	99	100	100	100	99	100	99	100	100	99	99	0	100	100	100	100	97	100	100	100	100	100	100	100	100	100	100	100	100	97	65	100	100	0	98	99	100	100	100	100	90	99	100	100	0	78	100	98	100	93	97	100	100	98	93	98	96	100	99	98	100	99	100	100	99	100	100	100	67	100	0	99	96	64	0	100	96	100	100	97	90	0	100	0	98	100	100	99	100	100	100	0	99	24	90	98	100	94	96	96	100	100	95	99	0	99	100	100	100	99	100	96	100	100	100	100	0	100	100	99	100
Rhizopus_oryzae	100	100	53	100	84	100	96	60	98	0	0	100	100	90	87	97	99	90	0	89	0	100	64	81	96	90	99	95	97	100	98	53	0	70	100	100	0	95	68	82	100	0	0	98	0	93	99	91	0	77	87	0	89	100	89	95	100	0	36	0	100	75	0	71	100	77	100	86	100	72	75	100	100	94	99	86	98	100	0	97	100	20	0	99	77	100	0	99	100	99	100	99	0	70	100	100	89	100	42	87	73	99	100	97	99	57	98	100	100	100	98	0	0	99	0	100	0	0	92	68	70	80	0	0	74	0	0	91	100	82	0	95	100	0	69	94	79	93	92	86	94	100	59	89	85	55	92	100	99	70	100	100	55	100	94	94	88	56	99	69	99	97	75	47	100	91	96	75	85	80	84	100	100	96	84	0	87	86	100	0	91	99	38	100	98	100	96	0	84	89	0	44	99	100	0	56	73	0	100	99	57	100	78	100	95	100	88	71	99	100
Mortierella_verticillata	100	100	0	99	98	100	100	97	97	94	98	98	100	94	100	100	95	99	100	98	97	100	100	100	97	100	99	100	100	100	100	96	0	100	100	100	100	100	100	98	100	99	100	98	0	99	99	94	100	100	100	100	100	100	100	96	100	0	63	96	0	89	94	100	100	93	100	97	100	98	100	100	100	100	99	88	100	100	100	100	100	100	100	99	81	97	100	98	99	99	100	100	99	99	100	100	100	100	58	95	100	100	100	99	100	98	98	100	100	100	100	100	99	100	100	100	100	100	97	68	100	99	98	99	98	99	100	100	100	92	99	100	100	100	97	100	99	100	91	97	100	100	96	98	99	97	100	100	99	98	99	100	100	100	99	100	100	64	31	100	99	96	98	92	100	95	100	100	97	100	100	100	100	100	100	100	100	100	100	100	100	99	38	90	100	100	97	96	100	100	100	91	99	99	99	100	100	98	99	100	99	100	98	100	100	100	100	98	99	100
Amoebidium_parasiticum	100	100	100	100	99	100	36	0	99	100	100	98	100	98	100	100	100	57	100	98	97	100	100	100	97	100	99	100	100	100	100	94	100	99	100	99	100	100	100	98	100	99	100	97	96	99	99	97	100	100	100	90	100	100	100	95	0	100	63	0	100	97	86	100	100	100	100	99	100	100	100	100	100	100	87	88	100	100	99	100	100	100	39	82	92	97	100	97	0	99	100	100	100	97	98	100	100	100	100	100	100	99	100	99	100	100	100	100	99	100	99	100	62	0	100	100	100	100	0	67	100	100	100	100	99	100	100	100	100	0	99	98	100	99	100	100	100	100	95	0	99	100	100	95	99	98	100	100	100	100	100	100	99	100	99	100	100	99	100	100	97	96	94	93	100	96	100	100	98	100	99	100	100	100	100	100	92	100	100	100	100	63	31	99	100	99	0	95	100	100	100	99	99	98	100	100	100	97	97	100	100	100	100	100	100	100	100	100	82	100
Sphaeroforma_arctica	100	100	100	0	100	100	21	0	98	0	15	98	55	95	0	100	0	0	29	98	0	100	61	100	0	80	99	100	42	48	100	74	94	85	0	100	10	0	79	0	99	58	100	98	0	50	99	0	83	100	0	0	100	95	0	78	88	99	0	0	97	99	0	78	100	85	100	0	69	67	0	100	100	75	99	88	100	56	0	100	100	0	0	0	91	97	100	99	99	0	100	100	100	93	59	57	32	95	94	98	100	83	100	98	84	100	100	0	99	100	98	100	0	47	100	24	100	91	0	0	0	65	100	0	0	91	100	61	100	92	91	86	100	0	96	100	100	88	0	0	65	62	100	0	71	80	0	100	0	0	100	100	38	75	84	0	79	0	99	67	97	97	80	0	100	0	75	0	99	85	94	100	100	99	96	100	36	100	99	0	38	94	0	0	0	0	0	94	48	84	61	91	99	36	0	100	0	97	97	98	0	0	100	26	100	100	97	99	99	41
Capsaspora_owczarzaki	100	100	87	100	98	100	100	99	99	98	97	100	100	94	98	100	95	100	100	98	99	98	100	100	97	100	0	100	100	100	100	0	0	0	99	99	100	100	99	100	100	99	100	98	99	99	97	98	96	100	100	100	100	100	100	95	100	91	100	75	92	98	99	99	100	100	100	89	100	96	100	100	100	100	100	88	59	99	99	100	97	100	76	99	86	84	100	96	99	98	100	100	100	97	0	100	100	95	100	99	100	100	100	100	0	100	98	100	100	100	100	100	99	99	100	100	93	94	99	0	98	100	100	99	100	100	100	89	100	97	99	98	100	95	100	100	100	100	95	100	97	100	98	89	99	95	84	100	100	99	100	100	100	100	95	100	99	69	100	100	97	96	99	86	100	92	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	98	31	84	96	99	0	100	87	99	0	99	0	99	0	0	100	100	98	100	95	100	100	100	100	100	100	100	99	100
Ministeria_vibrans	100	63	100	100	0	99	100	93	98	100	99	0	100	0	100	100	99	97	0	99	57	100	100	21	97	76	0	62	0	46	0	94	0	98	0	100	100	100	100	99	100	99	100	96	0	0	97	97	100	0	96	100	0	97	94	91	0	82	72	95	0	58	90	81	100	65	40	53	0	0	100	84	100	98	0	13	0	74	94	41	85	0	100	91	22	97	0	96	0	99	44	100	0	82	95	100	100	99	0	98	59	47	100	98	66	0	100	100	100	100	0	65	51	45	99	90	0	0	57	65	62	99	45	99	0	100	100	100	0	91	99	78	0	95	97	100	98	99	0	100	47	100	40	93	99	87	0	100	99	81	0	100	100	96	94	45	99	0	100	98	97	96	99	99	100	0	0	0	77	0	0	100	100	85	0	29	74	100	0	0	25	29	0	0	37	0	96	100	43	100	81	0	100	75	100	100	100	97	100	45	0	100	74	80	97	100	0	27	0	14
Monosiga_ovata	100	0	0	30	0	0	0	0	76	0	0	0	0	0	70	0	94	100	57	0	0	98	100	0	98	100	0	100	0	37	90	0	84	0	0	0	39	0	65	0	74	0	0	0	64	0	0	0	0	0	0	99	0	95	0	0	0	0	59	59	100	0	0	0	0	0	44	0	0	65	100	0	51	0	0	0	0	0	42	0	0	0	0	0	75	0	0	0	0	0	0	100	0	60	0	0	86	100	30	0	0	91	0	28	0	0	0	0	99	100	51	0	28	0	29	36	0	0	0	94	84	0	0	0	31	0	0	0	0	0	0	0	92	0	66	0	0	0	0	97	100	0	0	0	0	0	0	97	100	0	100	0	0	0	64	0	50	19	20	0	0	0	98	99	100	0	0	0	94	0	0	100	72	39	0	0	0	100	0	0	0	35	35	0	0	0	87	96	0	0	0	38	99	58	52	0	0	95	100	0	0	96	0	0	87	96	0	0	0	0
Salpingoeca_rosetta	98	100	100	0	95	100	81	97	100	100	100	98	0	93	99	100	99	100	98	98	100	100	100	95	99	97	0	100	63	100	100	100	100	0	100	100	100	0	90	99	99	100	100	99	55	89	99	99	0	51	94	100	100	99	0	89	0	93	0	42	96	84	99	100	100	0	100	74	100	0	100	100	55	96	83	0	99	100	60	73	98	0	98	0	60	99	63	96	100	91	100	100	98	88	0	96	100	90	100	64	77	100	0	98	80	100	97	97	88	100	99	98	97	99	100	98	100	87	84	97	100	99	88	97	100	100	95	100	0	89	99	98	100	0	98	96	97	100	88	97	97	93	87	0	99	68	99	99	100	97	100	98	100	100	92	96	100	99	99	100	97	0	94	100	100	100	100	100	87	62	70	100	100	100	99	75	97	99	89	99	99	99	58	100	81	99	0	96	94	0	0	95	99	99	72	100	99	0	100	100	91	100	100	100	82	100	80	100	99	98
