Species	1-236	237-996	997-1383	1384-2117	2118-2845	2846-3364	3365-3445	3446-3660	3661-3741	3742-3873	3874-4039	4040-4230	4231-4401	4402-4657	4658-4963	4964-5091	5092-5145	5146-5248	5249-5752	5753-5834	5835-5994	5995-6119	6120-6246	6247-6341	6342-6564	6565-6720	6721-6848	6849-6993	6994-7253	7254-7555	7556-7789	7790-8369	8370-8544	8545-8629	8630-9320	9321-9557	9558-9744	9745-9906	9907-11001	11002-11254	11255-11601	11602-12240	12241-12596	12597-12808	12809-13360	13361-14077	14078-14240	14241-14362	14363-14528	14529-14725	14726-14839	14840-14941	14942-15093	15094-15271	15272-15429	15430-15592	15593-15734	15735-16096	16097-16391	16392-16563	16564-16792	16793-17024	17025-17292	17293-17705	17706-18225	18226-19105	19106-19166	19167-19278	19279-19378	19379-19566	19567-19726	19727-19855	19856-20328	20329-20673	20674-21216	21217-21284	21285-21507	21508-21667	21668-21836	21837-21941	21942-22324	22325-22505	22506-22711	22712-22833	22834-23017	23018-23112	23113-23673
Monosiga_ovata	2	0	0	1	0	0	2	0	0	0	2	2	2	0	2	2	0	0	1	0	2	0	0	0	2	0	0	0	2	0	2	0	2	2	1	0	0	2	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	2	0	0	2	2	2	0	0	0	2	0	1	1	0	2	2	0	2	2	0	0	0	0	2	0	0	2	2	0	2	2	0	2	0
Salpingoeca_rosetta	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	0	1	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2
Euplokamis_dunlapae	2	2	2	2	0	0	2	2	0	2	2	2	2	1	2	2	2	2	1	0	1	2	0	0	0	0	2	2	1	0	1	0	0	2	2	2	2	2	1	2	0	2	0	2	1	1	2	2	0	1	2	2	2	2	2	0	2	0	1	2	2	2	0	1	2	0	0	2	2	0	2	2	1	0	0	2	1	0	2	2	2	2	1	2	0	2	0
Vallicula_sp	2	2	0	1	0	1	0	2	0	2	2	2	2	0	0	2	0	2	1	0	2	0	0	0	0	0	2	2	0	2	2	1	0	0	1	2	2	2	0	2	2	2	0	2	0	1	0	2	0	2	2	2	2	0	2	2	2	2	2	0	0	2	0	2	1	2	2	2	2	0	1	2	2	0	0	0	2	1	2	0	2	2	2	2	0	2	2
Coeloplana_astericola	2	2	0	0	0	2	2	2	0	2	0	2	2	2	0	2	2	0	0	2	2	0	2	0	0	0	2	2	0	2	2	0	0	2	0	2	2	2	1	2	2	0	0	2	1	2	2	2	0	2	2	0	2	2	2	2	2	2	1	0	0	0	1	2	2	1	2	2	0	0	2	2	2	2	0	0	2	2	2	2	0	2	1	2	0	0	0
Pleurobrachia_bachei	0	1	2	2	1	2	0	2	0	0	2	2	2	2	2	2	2	2	0	0	2	0	2	0	0	0	2	2	0	2	2	2	0	0	1	2	2	2	2	2	0	2	0	2	2	0	2	0	0	2	2	0	2	2	2	2	0	0	2	2	0	0	0	0	0	0	0	0	2	2	2	2	2	0	2	0	0	0	0	2	1	0	0	2	0	2	1
Pleurobrachia_atlantica	2	2	2	2	2	2	2	2	0	2	2	2	2	1	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	2	2	2	0	2	1	2	2	2	1	2	1	0	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	1	2	2	2	0	2	2	1	2	2	2	2	2	2	2	0	1	0	2	2	2	2	1	2	2	2	0	2	2
Dryodora_glandiformis	2	2	2	2	1	1	2	2	0	2	2	2	0	2	2	2	2	2	0	0	2	2	2	0	0	0	0	2	2	2	0	2	0	2	1	2	2	1	0	2	2	2	0	2	0	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	0	0	2	0	0	0	0	2	1	2	2	0	2	0	2	0	0	2
Mnemiopsis_leidyi	2	1	1	2	2	0	0	2	0	2	2	2	2	0	2	2	2	2	2	0	0	2	2	0	0	0	0	2	0	2	2	2	0	2	1	2	2	1	1	2	2	2	0	2	2	1	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	0	0	2	1	1	0	2	2	0	2	2	2	0	0	2	2	0	0	2	2	2	1	0	0	2	1
Beroe_abyssicola	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	0	2	0	0	0	2	2	2	2	2	1	0	2	1	2	2	2	1	2	2	2	0	2	1	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	1	0	0	2	2	2	2	1	2	2	2	0	2	2
Bolinopsis_infundibulum	0	0	2	2	1	1	2	2	0	2	2	2	0	1	0	2	2	2	0	2	2	2	0	0	0	0	0	2	0	0	2	2	0	2	1	2	0	2	1	2	0	0	0	2	0	2	0	2	0	2	2	0	2	2	2	2	2	2	1	2	2	2	2	0	0	2	2	0	2	0	2	2	1	0	0	2	0	1	2	2	1	2	0	2	0	2	1
Mertensiidae_sp	2	2	0	2	0	2	0	2	0	2	2	2	0	0	0	2	0	2	0	0	2	0	2	0	0	0	2	2	0	2	2	1	0	0	1	2	0	2	1	2	2	2	0	2	0	1	0	2	0	2	2	0	2	2	2	2	2	0	1	2	0	2	0	1	0	2	2	2	2	0	2	2	1	0	0	0	0	2	1	0	2	2	0	2	0	2	2
Sycon_coactum	2	2	2	2	2	2	2	2	2	2	0	0	2	0	2	2	0	0	2	0	2	2	2	0	0	2	2	2	2	0	2	2	2	0	2	2	2	2	1	2	2	2	0	2	1	2	2	2	0	2	2	0	2	2	2	2	0	2	0	2	2	0	0	2	0	2	2	2	2	2	2	2	2	2	0	0	2	0	2	2	2	2	2	2	2	2	2
Sycon_ciliatum	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	1	0	2	0	2	2	2	2	2	2	2	2	2
Corticium_candelabrum	0	1	2	0	0	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	1	2	2	2	2	0	2	1	2	2	0	2	0	1	1	2	1	1	0	2	2	2	0	2	1	2	0	2	0	2	2	0	0	0	0	2	2	2	2	2	0	1	1	0	1	2	0	2	1	2	2	1	1	2	2	0	0	2	2	2	0	2	2	0	0	2
Oscarella_carmela	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2
Hyalonema_populiferum	2	0	2	0	1	1	0	2	2	2	2	2	2	1	2	2	2	2	0	2	0	2	2	2	0	0	0	0	1	1	0	0	0	2	1	2	2	2	0	2	1	0	0	2	1	2	2	2	2	0	2	2	2	2	2	2	2	0	0	2	1	0	0	0	0	0	2	2	2	2	2	2	2	0	0	2	0	2	2	2	1	2	2	2	0	2	0
