Species	1-237	238-740	741-1217	1218-1862	1863-2468	2469-3047	3048-3921	3922-4034	4035-4277	4278-4897	4898-5226	5227-5885	5886-6378	6379-6674	6675-7124	7125-7577	7578-7694	7695-8128	8129-8361	8362-8559	8560-8749	8750-9363	9364-9785	9786-9947	9948-10511	10512-10646	10647-11108	11109-11482	11483-11736	11737-12212	12213-12689	12690-13379	13380-14345	14346-14726	14727-15001	15002-15141	15142-15542	15543-15709	15710-15977	15978-16276	16277-16694	16695-17410	17411-17695	17696-18221	18222-18751	18752-19094	19095-19538	19539-19877	19878-20454	20455-20862	20863-21045	21046-21231	21232-21828	21829-22629	22630-23484	23485-23772	23773-24772	24773-24976	24977-25147	25148-25392	25393-25766	25767-26043	26044-26232	26233-26765	26766-27096	27097-27353	27354-27722	27723-28065	28066-28489	28490-28706	28707-29001	29002-29526	29527-30272	30273-30877	30878-31272	31273-31874	31875-32327	32328-32880	32881-33750	33751-33914	33915-34460	34461-34636	34637-35318	35319-35652	35653-35806	35807-36186	36187-36800	36801-37530	37531-37920	37921-38013	38014-38405	38406-38800	38801-39395	39396-39660	39661-39843	39844-39969	39970-40325	40326-40643	40644-41053	41054-41437	41438-41941	41942-42342	42343-42691	42692-43427	43428-43714	43715-43943	43944-44272	44273-44656	44657-44795	44796-45614	45615-45996	45997-46196	46197-46744	46745-47353	47354-47931	47932-48873	48874-49388
Monosiga_ovata	100	0	100	24	22	0	22	0	97	99	0	0	33	98	43	83	100	0	80	0	0	0	70	99	0	100	0	61	100	99	100	0	0	79	0	100	47	99	79	100	40	0	0	0	0	100	100	77	0	52	96	0	72	63	12	100	0	100	0	88	100	0	0	26	0	0	99	100	81	100	62	0	0	0	52	0	48	39	0	0	71	0	0	0	100	96	97	70	97	98	0	85	0	93	0	100	0	50	100	0	0	98	100	0	98	0	0	64	100	47	100	0	0	0	0	32	0
Acanthoeca_sp	100	100	100	0	100	100	100	100	0	100	99	98	98	99	100	100	100	98	98	0	96	100	100	97	0	100	74	68	100	100	100	99	99	98	92	100	99	100	100	99	98	97	100	19	95	99	100	100	100	96	99	99	100	100	99	100	32	100	99	86	0	98	100	100	97	100	99	100	99	100	100	95	81	100	93	100	100	100	98	90	100	99	0	66	100	98	100	100	98	100	100	100	98	100	99	100	100	100	100	0	99	100	100	100	99	100	100	56	100	100	100	99	100	100	87	99	100
Salpingoeca_pyxidium	100	83	51	0	29	95	78	65	91	24	33	0	42	42	90	100	100	0	37	95	38	0	46	99	0	100	20	0	98	100	93	0	28	0	39	100	0	100	39	28	26	0	100	11	0	0	0	93	100	0	53	0	0	0	0	99	0	95	81	63	46	0	44	78	33	54	54	87	56	100	93	0	0	15	69	0	66	42	0	0	17	0	25	0	100	37	47	45	84	100	0	29	0	0	62	100	0	0	0	0	0	63	100	0	52	97	0	0	82	20	43	51	46	41	78	20	0
Salpingoeca_rosetta	100	99	100	92	100	100	100	98	100	85	100	99	86	99	91	100	99	99	95	99	97	100	99	96	97	100	93	94	100	100	100	64	100	100	99	100	99	100	100	100	100	99	99	100	92	100	100	90	100	100	99	85	99	86	100	0	63	100	99	99	95	98	99	95	100	56	99	100	81	100	100	100	98	100	100	100	100	100	79	90	88	98	98	84	100	97	99	100	98	97	99	100	99	100	100	100	100	100	100	75	100	100	100	100	99	99	99	93	100	100	98	92	100	96	88	100	100
Monosiga_brevicolis	100	100	100	97	100	0	98	100	88	100	99	94	96	92	99	100	95	90	83	91	99	93	100	96	81	100	91	65	100	99	100	99	100	99	95	100	100	100	99	100	99	100	100	73	98	94	84	100	100	100	99	95	80	99	98	0	98	100	93	100	100	98	100	100	100	100	99	0	98	100	100	100	100	45	100	100	97	99	98	100	97	75	95	57	100	98	100	100	98	0	97	100	99	100	100	100	85	100	100	0	94	100	100	100	0	83	100	90	100	100	70	84	95	100	0	83	100
Euplokamis_dunlapae	0	0	0	23	0	0	70	100	0	0	0	50	23	0	100	24	0	46	0	0	0	0	0	92	0	0	46	0	0	0	100	16	0	100	0	0	0	0	0	0	0	85	0	0	38	100	0	0	49	0	0	0	0	30	0	100	14	0	100	0	0	0	0	0	0	83	0	100	0	0	31	0	0	0	0	46	100	0	0	0	0	0	19	0	0	0	0	0	0	0	22	100	57	0	0	100	0	0	0	0	0	0	0	66	0	0	0	0	100	0	0	0	0	0	0	0	0
Vallicula_sp	0	0	0	0	82	0	72	0	0	0	0	59	0	0	87	98	0	0	0	0	0	0	0	96	9	0	0	0	0	0	0	20	0	0	0	0	0	0	0	42	0	96	0	0	26	87	0	0	83	0	0	0	0	13	33	0	88	0	0	0	0	0	0	62	0	0	0	89	0	0	0	46	0	35	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	92	51	0	0	100	0	0	0	43	50	0	0	49	0	0	0	0	0	64	0	0	22	0	84	0	0
Coeloplana_astericola	0	0	0	26	82	0	0	0	0	0	0	0	0	0	24	99	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	94	0	100	0	40	0	74	0	0	70	0	0	0	98	53	0	98	0	0	0	0	0	0	0	46	0	0	0	100	0	0	48	58	91	50	0	79	0	75	54	0	0	0	91	0	0	0	0	0	0	0	0	100	100	0	0	100	0	0	0	36	0	0	0	0	0	0	0	0	0	73	0	0	0	0	35	47	0
Hormiphora_palmata	0	0	0	23	0	34	10	98	0	0	0	0	44	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	26	100	0	0	67	0	0	0	0	26	0	0	14	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	46	100	30	0	94	0	0	0	0	0	0	0	0	0	0	100	0	0	100	43	0	0	100	0	0	0	0	50	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0
Hormiphora_californica	0	0	0	100	100	100	32	0	0	0	0	100	100	0	0	51	0	88	0	0	0	54	0	0	98	0	46	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	100	99	100	0	0	100	0	0	0	99	70	100	0	93	0	0	0	0	0	0	0	100	0	0	0	0	0	100	100	61	100	43	100	0	100	42	0	0	0	100	0	0	0	0	0	100	0	100	100	74	0	0	100	0	0	0	62	100	0	0	100	0	0	0	0	0	79	0	0	96	0	100	57	100
Pleurobrachia_pileus	0	0	0	0	0	100	79	98	0	0	0	100	15	0	0	100	0	86	0	0	0	100	0	0	98	0	100	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	49	100	0	0	0	0	0	0	55	25	76	0	37	0	0	0	0	0	0	0	95	0	0	0	0	0	35	66	48	100	100	100	0	0	43	0	0	0	0	0	0	0	0	0	100	0	52	100	98	0	0	100	0	0	0	59	100	0	0	100	0	0	0	0	98	74	0	0	87	0	99	47	0
Pleurobrachia_sp_South_Carolina_USA	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	32	0	0	32	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	20	99	68	0	0	0	0	0	0	0	0	0	0	0	0	100	100	54	99	0	0	0	100	0	0	0	0	39	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
