Species	1-183	184-351	352-741	742-1303	1304-1867	1868-2406	2407-2963	2964-3509	3510-4064	4065-4643	4644-5199	5200-5738	5739-6332	6333-7021	7022-7671	7672-8578	8579-9538	9539-10411	10412-11711	11712-12701	12702-13187	13188-13642	13643-14091	14092-14310	14311-15033	15034-15810	15811-16607	16608-17514	17515-18384	18385-18838	18839-19317	19318-20727	20728-21144	21145-21625	21626-21872	21873-22030	22031-22214	22215-22346	22347-22621	22622-23377	23378-24322	24323-25290	25291-26027	26028-27020	27021-27902	27903-28176	28177-28650	28651-29110	29111-29552	29553-29955	29956-30399	30400-30830	30831-31273	31274-32118	32119-32884	32885-33176	33177-33640	33641-34117	34118-34454	34455-34749	34750-35057	35058-35319	35320-35561	35562-35817	35818-36081	36082-36317	36318-36650	36651-36910	36911-37160	37161-37361	37362-37566	37567-37819	37820-38118	38119-38400	38401-38814	38815-39092	39093-39538	39539-39922	39923-40265	40266-40714	40715-40851	40852-41035	41036-41202	41203-41421	41422-41656	41657-41861	41862-42093	42094-42281	42282-42469	42470-42676	42677-42894	42895-43094	43095-43259	43260-43411	43412-43552	43553-43710	43711-43878	43879-44172	44173-44330	44331-44483	44484-44740	44741-44857	44858-45003	45004-45141	45142-45291	45292-45413	45414-45536	45537-45651	45652-45753	45754-45804	45805-46213	46214-46321	46322-46413	46414-46879	46880-47191	47192-47507	47508-47772	47773-47965	47966-49891	49892-51900	51901-53294	53295-53621	53622-53807	53808-53971	53972-54122	54123-54273	54274-54429	54430-54578	54579-54724	54725-54877	54878-55032	55033-55318	55319-55440	55441-55570	55571-55715	55716-55873	55874-56004	56005-56145	56146-56305	56306-56394	56395-56463	56464-56772	56773-57079	57080-57342	57343-57570	57571-57830	57831-58027	58028-58236	58237-58431	58432-58685	58686-59414	59415-59855	59856-60394	60395-61311	61312-61821	61822-62367	62368-62757	62758-63078	63079-64702	64703-65011	65012-65400	65401-65570	65571-65815	65816-66223	66224-66313	66314-66598	66599-66700	66701-66910	66911-67186	67187-67341	67342-67600	67601-67732	67733-68199	68200-68321	68322-68592	68593-68679	68680-68791	68792-68997	68998-69135	69136-69261	69262-69561	69562-69768	69769-69972	69973-70096	70097-70334	70335-70510	70511-70718	70719-71010	71011-71218	71219-71405	71406-71741	71742-72000	72001-72279	72280-72636	72637-72875	72876-73071	73072-73210	73211-73298	73299-73441	73442-73636	73637-73940	73941-74196	74197-74429	74430-74557	74558-74763	74764-75073	75074-75303	75304-75525	75526-75726	75727-75859	75860-75971	75972-76332	76333-76501	76502-76702	76703-76871	76872-77088	77089-77459	77460-77606	77607-77758	77759-78067	78068-78173	78174-78268	78269-78407	78408-78524	78525-78991	78992-79185	79186-79285	79286-79508	79509-79585	79586-79773	79774-80076	80077-80463	80464-80729	80730-80998	80999-81206	81207-81416	81417-81499	81500-81619	81620-81849	81850-82185	82186-82312	82313-82495	82496-82665	82666-82919	82920-83063	83064-83214	83215-83582	83583-83803	83804-84422	84423-85001	85002-85445	85446-85671	85672-85936	85937-86242	86243-86502	86503-87019	87020-87880	87881-88358
Xenoturbella_bocki	97	100	93	92	57	98	55	45	86	64	75	99	97	65	25	5	5	96	6	4	45	0	0	96	89	50	91	36	53	33	89	10	54	78	82	90	0	75	95	11	15	0	7	9	0	29	13	24	0	58	40	63	70	75	0	81	54	0	0	32	18	17	24	67	99	59	55	54	94	0	87	86	28	75	45	28	0	21	0	0	79	96	99	95	64	100	85	96	100	31	100	88	96	75	96	99	96	85	90	97	99	96	85	95	74	64	97	90	91	100	99	99	99	85	96	81	93	96	0	0	13	96	83	93	100	100	94	98	92	100	87	93	97	100	97	83	87	96	97	95	95	91	75	99	86	95	97	100	98	43	16	97	51	10	48	84	78	91	6	28	66	0	21	71	93	24	0	0	29	0	80	80	48	78	88	60	92	84	89	95	0	37	0	0	44	0	88	0	0	48	24	29	17	0	39	75	95	95	97	95	92	33	55	35	84	53	0	82	80	84	76	23	0	0	64	51	0	90	43	27	91	77	62	64	71	0	0	0	0	63	72	0	96	0	25	66	98	0	35	79	91	0	92	79	76	0	50	86	0	70	32	31	93	92	60	48	5	10
Saccoglossus_kowalevskii	97	100	94	98	99	99	94	100	99	93	98	99	97	92	75	63	61	97	60	99	64	25	93	82	85	90	92	90	74	75	98	75	96	88	100	92	85	98	98	97	94	71	99	93	93	88	93	90	99	96	97	97	100	96	98	78	93	21	92	95	96	97	100	100	100	100	86	98	99	97	100	87	91	83	67	93	84	95	99	99	81	66	99	97	59	100	88	98	100	96	100	88	100	83	100	100	94	61	93	97	100	98	85	99	76	94	100	87	100	100	99	97	100	86	95	79	93	99	52	97	66	96	87	96	100	100	93	98	92	100	95	94	99	100	99	83	83	83	98	95	99	90	87	100	91	97	99	100	98	97	70	98	59	60	100	94	83	97	48	89	88	88	82	70	90	100	93	77	86	87	84	82	81	100	95	99	92	83	94	90	85	71	88	97	69	0	87	58	88	95	89	82	99	96	75	75	96	93	98	95	97	98	90	87	80	89	95	86	85	85	87	94	73	59	96	56	58	92	99	81	97	85	82	97	74	90	92	72	100	74	73	78	98	89	82	75	98	99	95	77	97	84	90	96	100	93	66	86	96	87	87	100	94	93	100	80	91	69
Ptychodera_flava	97	100	74	96	89	98	84	96	99	93	98	96	91	76	73	49	37	83	11	97	45	17	86	97	89	86	91	84	65	51	97	40	96	80	94	88	53	95	98	97	94	84	93	90	85	63	92	86	99	96	95	90	95	94	14	74	93	0	0	89	97	97	100	91	100	98	78	93	99	97	100	86	87	78	40	81	77	80	93	89	79	97	99	97	59	100	87	98	100	95	99	88	97	82	100	100	88	61	92	97	100	95	85	97	54	94	100	91	99	100	99	97	99	84	95	79	93	96	16	43	64	95	84	96	100	100	92	96	92	99	93	94	98	100	99	82	83	81	98	95	95	85	79	100	90	95	99	100	98	63	67	98	56	56	99	80	82	95	47	89	84	55	82	61	92	99	92	69	86	88	84	77	78	93	91	89	76	83	69	84	44	51	86	97	70	89	86	45	79	62	83	80	0	20	61	75	97	95	98	95	90	83	91	95	78	74	77	86	85	63	86	87	56	59	92	54	54	94	99	55	98	80	82	97	60	79	59	53	100	78	53	76	98	88	80	37	98	99	70	74	97	84	89	90	95	94	66	86	75	86	86	100	80	93	100	40	68	46
Patiria_miniata	0	0	95	99	95	98	94	99	98	95	99	99	97	92	56	50	41	97	48	62	63	76	69	98	93	90	92	86	74	71	97	60	97	86	79	89	83	95	97	85	80	84	98	71	88	77	94	88	99	97	97	97	100	96	52	48	58	56	71	85	97	81	100	97	98	100	84	100	99	100	100	89	87	74	52	89	70	93	98	97	80	99	99	96	60	100	85	96	100	94	99	88	100	87	99	99	93	62	93	98	99	94	85	97	72	91	100	94	100	99	99	97	99	84	94	78	91	97	28	71	72	96	87	94	100	100	93	98	90	100	94	94	96	100	98	82	90	84	94	95	72	87	82	99	91	95	99	100	98	96	67	98	59	59	100	92	84	98	39	87	38	88	79	71	93	99	96	60	81	93	79	83	80	100	91	100	93	83	92	92	64	60	87	99	54	91	88	51	83	90	92	80	99	82	74	75	96	98	100	94	90	97	90	0	78	88	95	83	88	87	92	94	63	60	96	57	55	96	97	80	97	89	82	97	75	84	91	72	99	82	68	71	98	87	78	73	97	100	95	73	98	76	90	96	100	86	59	88	98	79	79	100	86	93	100	68	78	24
Ophionotus_victoriae	76	95	86	99	25	66	65	82	35	0	16	68	69	43	22	0	6	97	17	15	62	16	26	98	84	13	59	65	18	46	64	0	0	83	56	88	62	95	97	0	46	17	26	14	10	65	36	60	45	0	66	40	24	0	0	0	0	59	0	0	38	0	97	97	96	78	58	93	54	72	71	61	58	70	27	77	0	0	0	24	80	95	99	94	59	100	88	98	100	96	99	88	99	86	98	98	87	59	93	96	100	53	85	96	72	91	100	91	95	100	99	97	99	83	95	78	93	96	17	0	0	96	85	95	100	100	95	98	92	100	91	93	96	100	99	82	87	93	98	95	95	89	79	99	90	94	99	100	99	51	36	98	58	11	31	18	74	15	0	54	0	88	76	33	0	53	0	40	86	0	71	46	62	77	0	99	85	42	43	72	0	0	72	77	0	73	71	53	0	0	0	0	69	0	44	57	96	93	100	94	81	48	90	89	78	37	96	83	86	71	84	0	0	59	0	0	52	0	0	70	0	86	67	0	75	83	74	64	0	78	62	51	84	0	72	0	41	0	90	52	98	0	0	17	18	0	51	43	0	21	24	41	0	93	100	0	7	0
Holothuria_glaberrima	0	0	28	57	0	0	0	0	0	0	0	0	22	0	0	0	0	18	0	0	0	0	0	98	0	89	0	0	0	0	0	0	0	0	0	92	0	38	94	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	82	0	99	95	58	100	85	87	100	95	99	86	96	80	100	94	0	62	94	100	96	95	77	96	71	94	97	54	93	100	99	97	99	80	94	69	93	97	0	0	0	97	78	95	86	100	92	95	85	99	93	92	96	95	100	82	59	75	98	94	95	85	77	97	95	94	98	99	97	0	0	44	60	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	90	41	79	0	0	0	0	0	64	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	96	97	93	93	67	0	88	0	78	0	34	79	85	0	81	31	38	0	0	52	0	0	0	0	0	0	0	0	0	33	71	0	99	0	0	0	44	0	50	0	92	37	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
Apostichopus_japonicus	91	95	58	94	95	14	45	45	51	0	52	31	74	29	0	0	36	95	0	0	34	0	29	98	82	23	92	88	0	0	0	0	0	44	68	90	45	98	97	7	10	33	0	17	17	71	0	63	99	63	0	52	99	18	17	0	40	0	0	0	59	0	86	79	89	100	46	100	99	0	81	86	91	0	26	88	0	0	0	28	82	96	99	95	58	100	85	98	100	95	96	86	96	80	100	97	44	62	94	97	100	95	84	98	71	94	97	94	94	100	99	97	99	66	94	77	92	97	0	0	0	97	83	95	100	100	92	95	85	99	91	93	96	95	100	82	87	96	98	95	95	85	87	99	94	94	98	100	93	0	0	94	56	19	0	53	83	0	0	0	0	0	0	46	90	0	93	31	86	93	70	73	80	0	31	96	0	80	92	92	32	71	60	87	0	62	0	0	69	0	0	0	94	28	50	72	94	97	93	93	87	97	88	85	78	67	79	73	85	82	80	93	78	60	96	0	29	90	62	80	92	87	82	74	53	89	0	67	99	78	70	57	62	86	67	30	98	99	54	50	98	0	86	27	72	87	0	35	37	28	0	0	68	93	37	0	24	0
Eucidaris_tribuloides	91	88	95	99	50	68	90	82	90	30	91	70	96	11	49	33	13	97	32	66	39	55	67	99	92	90	90	83	26	75	83	47	70	88	99	90	59	98	97	97	89	80	97	83	91	52	84	71	95	45	92	75	95	92	21	16	0	11	0	0	26	83	81	100	86	96	64	94	99	100	89	85	90	75	36	91	46	66	69	41	80	98	99	96	59	100	88	98	100	96	99	88	99	86	99	98	85	60	94	95	100	98	85	99	79	93	100	99	92	100	99	97	100	83	95	79	91	98	22	94	38	96	88	93	99	100	95	100	90	100	92	93	98	100	100	83	88	82	98	95	95	86	85	99	94	94	100	100	98	49	27	98	60	48	48	34	76	66	42	87	39	65	73	63	90	83	92	37	87	92	87	83	63	79	74	100	91	83	89	92	45	70	59	96	0	89	64	0	84	94	34	72	35	50	75	77	97	95	97	95	90	83	86	83	77	88	94	84	86	79	85	94	80	60	96	44	54	73	97	81	95	88	82	97	69	88	89	70	99	82	76	66	97	35	51	64	98	99	95	59	98	74	88	54	100	89	59	70	75	44	74	85	13	93	84	36	18	64
Strongylocentrotus_purpuratus	98	100	95	99	100	99	95	99	99	95	98	99	98	92	75	64	25	97	88	83	64	77	93	99	92	90	91	89	81	79	98	65	95	89	100	92	83	97	97	98	94	85	99	92	94	87	96	88	98	97	97	97	100	96	98	84	93	64	92	91	98	100	100	100	98	98	85	100	99	100	100	93	92	82	58	92	74	94	98	92	82	99	99	96	60	100	88	98	100	96	100	88	99	86	100	98	98	61	94	97	100	98	85	99	81	93	100	99	93	100	99	97	100	83	95	79	94	99	88	96	78	96	88	95	100	100	99	100	92	100	95	93	98	100	99	83	86	77	98	95	95	91	91	99	95	95	100	100	99	97	74	98	63	71	100	97	85	98	59	89	88	89	80	73	92	99	94	81	88	94	85	85	81	100	95	100	95	83	93	92	82	74	89	97	56	89	88	81	89	95	94	87	99	98	78	77	99	95	98	95	90	98	90	88	79	89	95	92	87	82	87	94	80	66	96	58	62	95	96	81	98	87	82	97	72	89	96	73	99	83	76	79	98	88	70	72	98	99	95	77	98	91	90	96	100	91	66	95	99	86	87	100	94	93	100	83	88	68
Lytechinus_variegatus	78	59	95	94	67	97	81	99	64	88	81	83	99	44	29	38	29	95	86	88	63	62	78	99	92	90	90	77	61	78	82	54	95	87	49	89	80	97	97	89	70	37	99	65	94	53	82	58	93	67	95	86	64	93	48	46	75	28	84	75	39	100	56	84	98	95	83	34	89	93	92	55	65	63	44	91	51	77	98	54	83	98	99	96	58	100	88	98	100	96	99	88	99	86	99	98	98	61	94	97	100	98	85	99	81	93	100	99	93	0	99	97	100	83	95	79	93	98	75	95	61	97	88	93	99	100	95	100	92	100	95	93	98	100	100	83	48	96	98	95	82	90	89	99	93	95	100	100	98	97	58	98	59	56	99	78	63	77	59	77	74	0	80	73	92	47	94	81	72	94	79	85	80	57	15	100	92	63	93	92	77	59	63	97	0	0	88	73	82	88	68	76	99	58	78	77	98	95	98	95	90	98	60	88	79	89	0	84	87	82	85	90	79	62	90	0	60	0	97	81	96	87	82	97	70	87	92	71	99	83	74	80	76	54	70	70	98	99	63	71	98	90	80	75	100	73	64	51	77	37	87	50	52	93	86	75	67	58
